Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Lava X3,LAVA,11588,5,"2022, December 22",164.6 x 75.8 x 9.2 mm (6.48 x 2.98 x 0.36 in),210 g (7.41 oz),"6.52 inches, 102.6 cm2 (~82.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"8 MP
QVGA",5 MP,"5.1, A2DP, LE","Li-Po 4000 mAh, non-removable",About 80 EUR
Lava Blaze Nxt,LAVA,16176,4,"2022, November 25",164.8 x 76.3 x 8.9 mm (6.49 x 3.00 x 0.35 in),203.5 g (7.20 oz),"6.52 inches, 102.6 cm2 (~81.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (dedicated),64GB 4GB RAM,"13 MP, (wide), AF
2 MP
VGA",8 MP,"5.0, A2DP, LE","Li-Ion 5000 mAh, non-removable",About 110 EUR
Lava Yuva Pro,LAVA,22060,6,"2022, October 11",164.4 x 75.8 x 8.9 mm (6.47 x 2.98 x 0.35 in),191 g (6.74 oz),"6.52 inches, 102.6 cm2 (~82.4% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (dedicated),32GB 3GB RAM,"13 MP, (wide), AF
other unspecified cameras",8 MP,"5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 100 EUR
Lava Blaze 5G,LAVA,36688,9,"2022, October 3",-,-,"6.52 inches, 102.6 cm2","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (dedicated),128GB 4GB RAM,"50 MP, (wide), 0.64µm, AF
2 MP, (macro)
VGA","8 MP, f/2.0, (wide)","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 130 EUR
Lava Blaze Pro,LAVA,31979,6,"2022, September 20",164.8 x 76.3 x 8.9 mm (6.49 x 3.00 x 0.35 in),187 g (6.60 oz),"6.52 inches, 102.6 cm2 (~81.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (dedicated),64GB 4GB RAM,"50 MP, (wide), 0.64µm, AF
2 MP, (macro)
VGA","8 MP, f/2.0, (wide)","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 130 EUR
Lava Blaze,LAVA,42756,8,"2022, July 07",-,-,"6.52 inches, 102.6 cm2","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC,64GB 3GB RAM,"13 MP, (wide), AF
Other unspecified cameras","8 MP, (wide)","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 110 EUR
Lava Z3,LAVA,30939,6,"2022, February 26",164.5 x 75.8 x 8.9 mm (6.48 x 2.98 x 0.35 in),-,"6.52 inches, 102.6 cm2 (~82.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"8 MP, f/2.0, (wide), 1.12µm, AF
QVGA","5 MP, f/2.2, (wide)","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable","₹ 7,499"
Lava X2,LAVA,42267,10,"2022, March 04",165 x 76 x 9 mm (6.50 x 2.99 x 0.35 in),192 g (6.77 oz),"6.5 inches, 102.0 cm2 (~81.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated slot),32GB 2GB RAM,"8 MP, f/2.0, (wide), 1.12µm, AF
QVGA","5 MP, f/2.2, (wide)","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable","₹ 6,999"
Lava Agni 5G,LAVA,140585,23,"2021, November 09",168.8 x 76.8 x 9.1 mm (6.65 x 3.02 x 0.36 in),204 g (7.20 oz),"6.78 inches, 109.2 cm2 (~84.2% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),microSDXC (uses shared SIM slot),128GB 8GB RAM,"64 MP, f/1.8, (wide), 0.7µm, AF
5 MP, 115˚, (ultrawide)
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","16 MP, f/2.0, (wide)","5.1, A2DP, LE","Li-Po 5000 mAh, non-removable","₹ 17,989"
Lava Z2s,LAVA,41325,4,"2021, January 07",164.5 x 75.8 x 9 mm (6.48 x 2.98 x 0.35 in),190 g (6.70 oz),"6.51 inches, 102.3 cm2 (~82.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated slot),32GB 2GB RAM,"8 MP, f/2.0, (wide), 1.12µm, AF","5 MP, f/2.2, (wide)","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 80 EUR
Lava Z2 Max,LAVA,58888,4,"2021, May 11",174.7 x 78.6 x 9.1 mm (6.88 x 3.09 x 0.36 in),216 g (7.62 oz),"7.0 inches, 116.4 cm2 (~84.7% screen-to-body ratio)",720 x 1640 pixels (~256 ppi density),microSDXC (dedicated slot),32GB 2GB RAM,"13 MP, f/1.9, (wide), 1/3.0"", 1.12µm, AF
2 MP, f/2.4, (depth)","8 MP, f/2.0, (wide), 1.12µm","5.0, A2DP, LE","Li-Po 6000 mAh, non-removable",About 90 EUR
Lava Z6,LAVA,81841,9,"2021, January 07",164.5 x 75.8 x 9 mm (6.48 x 2.98 x 0.35 in),190 g (6.70 oz),"6.51 inches, 102.3 cm2 (~82.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated slot),64GB 6GB RAM,"13 MP, f/1.9, (wide), 1/3.0"", 1.12µm, AF
5 MP, (ultrawide)
2 MP, f/2.4, (depth)","16 MP, f/2.0, (wide), 1/3.06"" 1.0µm","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 110 EUR
Lava Z4,LAVA,36238,2,"2021, January 07",164.5 x 75.8 x 9 mm (6.48 x 2.98 x 0.35 in),190 g (6.70 oz),"6.51 inches, 102.3 cm2 (~82.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated slot),64GB 4GB RAM,"13 MP, f/1.9, (wide), 1/3.0"", 1.12µm, AF
5 MP, (ultrawide)
2 MP, f/2.4, (depth)","16 MP, f/2.0, (wide), 1/3.06"" 1.0µm","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 100 EUR
Lava Z2,LAVA,34642,2,"2021, January 07",164.5 x 75.8 x 9 mm (6.48 x 2.98 x 0.35 in),190 g (6.70 oz),"6.51 inches, 102.3 cm2 (~82.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",microSDXC (dedicated slot),32GB 2GB RAM,"13 MP, f/1.9, (wide), 1/3.0"", 1.12µm, AF
2 MP, f/2.4, (depth)","8 MP, f/2.0, (wide)","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 80 EUR
Lava Z1,LAVA,38951,2,"2021, January 07",145.1 x 73.3 x 10.3 mm (5.71 x 2.89 x 0.41 in),175 g (6.17 oz),"5.0 inches, 68.9 cm2 (~64.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDXC (uses shared SIM slot),16GB 2GB RAM,"5 MP, f/2.2","5 MP, f/2.2","5.0, A2DP, LE","Li-Po 3100 mAh, removable",About 60 EUR
Lava Z61 Pro,LAVA,61249,2,"2020, July 09",147 x 71.8 x 9.2 mm (5.79 x 2.83 x 0.36 in),160 g (5.64 oz),"5.45 inches, 76.7 cm2 (~72.6% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",microSDXC (dedicated slot),16GB 2GB RAM,"8 MP, f/2.0, (wide), 1.12µ","5 MP, f/2.2, (wide), 1.12µ","4.2, A2DP, LE","Li-Po 3100 mAh, non-removable",About 70 EUR
Lava Z71,LAVA,119532,8,"2020, January",145.6 x 70.9 x 9 mm (5.73 x 2.79 x 0.35 in),150 g (5.29 oz),"5.71 inches, 81.4 cm2 (~78.8% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~295 ppi density)",microSDXC (dedicated slot),32GB 2GB RAM,"13 MP
2 MP",5 MP,"4.2, A2DP, LE","Li-Po 3200 mAh, non-removable",About 80 EUR
Lava Z40,LAVA,104228,3,"2019, March",125.5 x 63.9 x 11.7 mm (4.94 x 2.52 x 0.46 in),120 g (4.23 oz),"4.0 inches, 45.5 cm2 (~56.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDXC,8GB 1GB RAM,2 MP,2 MP,"4.2, A2DP, LE","Li-Ion 2250 mAh, removable",About 3500 INR
Lava Z92,LAVA,143426,4,"2019, January",156.9 x 75.8 x 8 mm (6.18 x 2.98 x 0.31 in),-,"6.22 inches, 96.6 cm2 (~81.2% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, f/2.0, 1/3.1"", 1.12µm, AF","8 MP, f/2.0, 1/4"", 1.12µm","4.1, A2DP","Li-Po 3260 mAh, non-removable",
Lava Z81,LAVA,136215,5,"2018, October",152.2 x 73 x 7.9 mm (5.99 x 2.87 x 0.31 in),141 g (4.97 oz),"5.7 inches, 83.8 cm2 (~75.5% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 3GB RAM","13 MP, f/2.2","13 MP, f/2.0","4.2, A2DP, LE","Li-Po 3000 mAh, non-removable",
Lava Z60s,LAVA,94297,1,"2018, August",144.3 x 71.4 x 8.5 mm (5.68 x 2.81 x 0.33 in),136 g (4.80 oz),"5.0 inches, 68.9 cm2 (~66.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC,16GB 1GB RAM,"5 MP, f/2.0, AF","5 MP, f/2.4","4.0, A2DP","Li-Po 2500 mAh, non-removable",About 4950 INR
Lava Z61,LAVA,198124,7,"2018, July",146.5 x 70.2 x 8.7 mm (5.77 x 2.76 x 0.34 in),139 g (4.90 oz),"5.45 inches, 76.7 cm2 (~74.5% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",microSDHC,"16GB 1GB RAM, 16GB 2GB RAM","8 MP, f/2.0, 1/5.0"", 1.12µm, AF","5 MP, f/2.4","4.0, A2DP","Li-Po 3000 mAh, removable",About 5700 INR
Lava Z91 (2GB),LAVA,81313,3,"2018, July",152 x 72.9 x 7.7 mm (5.98 x 2.87 x 0.30 in),147 g (5.19 oz),"5.7 inches, 83.8 cm2 (~75.7% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",microSDXC (dedicated slot),16GB 2GB RAM,"13 MP, f/2.0, 1/3.1"", 1.12µm, AF","8 MP, f/2.2","4.0, A2DP","Li-Po 3000 mAh, non-removable",About 9000 INR
Lava Z91,LAVA,209427,8,"2018, March",152 x 72.9 x 7.7 mm (5.98 x 2.87 x 0.30 in),147 g (5.19 oz),"5.7 inches, 83.8 cm2 (~75.7% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, f/2.0, 1/3.1"", 1.12µm, AF","8 MP, f/2.2","4.0, A2DP","Li-Po 3000 mAh, non-removable",About 10000 INR
Lava Z50,LAVA,149208,4,"2018, March",135 x 66.6 x 9.7 mm (5.31 x 2.62 x 0.38 in),140 g (4.94 oz),"4.5 inches, 55.8 cm2 (~62.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",microSDXC,8GB 1GB RAM,"5 MP, AF",5 MP,"4.0, A2DP","Li-Po 2000 mAh, removable",About 4400 INR
Lava Z90,LAVA,292779,6,"2017, September. Released 2017, September",148.5 x 73.1 x 8.1 mm (5.85 x 2.88 x 0.32 in),159 g (5.61 oz),"5.2 inches, 74.5 cm2 (~68.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",microSDXC (uses shared SIM slot),32GB 3GB RAM,"8 MP, f/2.0, AF
2 MP, (depth)","8 MP, f/2.0","4.0, A2DP","Li-Ion 2750 mAh, non-removable",About 10750 INR
Lava Z80,LAVA,149873,1,"2017, September. Released 2017, September",148.5 x 73.1 x 8.1 mm (5.85 x 2.88 x 0.32 in),136.8 g (4.83 oz),"5.0 inches, 68.9 cm2 (~63.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (uses shared SIM slot),16GB 3GB RAM,"8 MP, f/2.0","5 MP, f/2.0, 1/4"", 1.4µm","4.0, A2DP","Li-Po 2500 mAh, removable",About 9000 INR
Lava Z60,LAVA,232025,3,"2017, September. Released 2017, September",143.6 x 72.3 x 9.1 mm (5.65 x 2.85 x 0.36 in),149 g (5.26 oz),"5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDXC,16GB 1GB RAM,"5 MP, f/2.0, AF",5 MP,"4.0, A2DP","Li-Po 2500 mAh, non-removable",About 6500 INR
