Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
LG W41 Pro,LG,775027,47,"2021, February 22",166.5 x 77.3 x 9.3 mm (6.56 x 3.04 x 0.37 in),201 g (7.09 oz),"6.55 inches, 118.3 cm2 (~91.9% screen-to-body ratio)","900 x 1600 pixels, 16:9 ratio (~280 ppi density)",microSDXC (dedicated slot),128GB 6GB RAM,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm
5 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","8 MP, (wide), 1/4.0"", 1.12µm","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 180 EUR
LG W41+,LG,208382,16,"2021, February 22",166.5 x 77.3 x 9.3 mm (6.56 x 3.04 x 0.37 in),201 g (7.09 oz),"6.55 inches, 118.3 cm2 (~91.9% screen-to-body ratio)","900 x 1600 pixels, 16:9 ratio (~280 ppi density)",microSDXC (dedicated slot),128GB 4GB RAM,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm
5 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","8 MP, (wide), 1/4.0"", 1.12µm","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 170 EUR
LG W41,LG,161816,10,"2021, February 22",166.5 x 77.3 x 9.3 mm (6.56 x 3.04 x 0.37 in),201 g (7.09 oz),"6.55 inches, 118.3 cm2 (~91.9% screen-to-body ratio)","900 x 1600 pixels, 16:9 ratio (~280 ppi density)",microSDXC (dedicated slot),64GB 4GB RAM,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm
5 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","8 MP, (wide), 1/4.0"", 1.12µm","5.0, A2DP, LE","Li-Po 5000 mAh, non-removable",About 160 EUR
LG W31+,LG,246414,18,"2020, November 06",166.2 x 76.3 x 8.4 mm (6.54 x 3.00 x 0.33 in),173.6 g (6.14 oz),"6.52 inches, 102.6 cm2 (~80.9% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (dedicated slot),128GB 4GB RAM,"13 MP, (wide), 1/3.0"", 1.12µm, PDAF
5 MP, (ultrawide)
2 MP, (depth)","8 MP, (wide)","4.2, A2DP, LE","Li-Po 4000 mAh, non-removable",About 140 EUR
LG W31,LG,137993,3,"2020, November 06",166.2 x 76.3 x 8.4 mm (6.54 x 3.00 x 0.33 in),173.6 g (6.14 oz),"6.52 inches, 102.6 cm2 (~80.9% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","13 MP, (wide), 1/3.0"", 1.12µm, PDAF
5 MP, (ultrawide)
2 MP, (depth)","8 MP, (wide)","4.2, A2DP, LE","Li-Po 4000 mAh, non-removable",About 130 EUR
LG W11,LG,118830,7,"2020, November 06",166.2 x 76.3 x 8.4 mm (6.54 x 3.00 x 0.33 in),-,"6.52 inches, 102.6 cm2 (~80.9% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"13 MP, (wide), PDAF
2 MP, (depth)","8 MP, (wide)","4.2, A2DP, LE","Li-Po 4000 mAh, non-removable",About 110 EUR
LG K92 5G,LG,526539,56,"2020, September 29",166.4 x 77.2 x 8.4 mm (6.55 x 3.04 x 0.33 in),202.4 g (7.13 oz),"6.7 inches, 108.4 cm2 (~84.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",microSDXC,128GB 6GB RAM,"64 MP, f/1.8, 25mm (wide), 1/1.97"", 0.7µm, PDAF
5 MP, f/2.2, 115˚ (ultrawide), 1/5.0"", 1.12µm
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","16 MP, f/2.0, 27mm (wide), 1/3.06, 1.0µm","5.1, A2DP, LE","Li-Po 4000 mAh, non-removable",About 340 EUR
LG K62,LG,351466,25,"2020, September 23",165 x 76.7 x 8.4 mm (6.50 x 3.02 x 0.33 in),186 g (6.56 oz),"6.6 inches, 105.2 cm2 (~83.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~266 ppi density)",microSDXC,"64GB 4GB RAM, 128GB 4GB RAM","48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF
5 MP, f/2.2, 115˚ (ultrawide), 1/5.0"", 1.12µm
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)",28 MP,"5.0, A2DP, LE","Li-Po 4000 mAh, non-removable",About 290 EUR
LG Q52,LG,183969,12,"2020, September 26",165 x 76.7 x 8.4 mm (6.50 x 3.02 x 0.33 in),186 g (6.56 oz),"6.6 inches, 105.2 cm2 (~83.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~266 ppi density)",microSDXC,64GB 4GB RAM,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF
5 MP, f/2.2, 115˚ (ultrawide), 1/5.0"", 1.12µm
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","13 MP, (wide), 1/3.1"", 1.12µm","5.0, A2DP, LE","Li-Po 4000 mAh, non-removable",About 240 EUR
LG K52,LG,231767,15,"2020, September 23",165 x 76.7 x 8.4 mm (6.50 x 3.02 x 0.33 in),188 g (6.63 oz),"6.6 inches, 105.2 cm2 (~83.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~266 ppi density)",microSDXC,64GB 4GB RAM,"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF
5 MP, f/2.2, 115˚ (ultrawide), 1/5.0"", 1.12µm
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","13 MP, f/2.0, 27mm (wide), 1/3.1"", 1.12µm","5.0, A2DP, LE","Li-Po 4000 mAh, non-removable",About 220 EUR
