Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Maxon MX-C90,MAXON,154197,8,2003,83 x 47 x 23 mm (3.27 x 1.85 x 0.91 in),82 g (2.89 oz),,"128 x 128 pixels, 1:1 ratio",No,,VGA,No,No,Removable Li-Ion battery,
Maxon MX-C80,MAXON,105937,7,"2003, Q4",84 x 43.7 x 20.8 mm (3.31 x 1.72 x 0.82 in),85 g (3.00 oz),,128 x 160 pixels,No,,VGA,No,No,Removable Li-Ion battery,
Maxon MX-C180,MAXON,110751,8,"2003, Q4",84 x 43.7 x 20.8 mm (3.31 x 1.72 x 0.82 in),85 g (3.00 oz),,128 x 160 pixels,No,,VGA,No,No,Removable Li-Ion battery,
Maxon MX-A30,MAXON,89596,5,2004,90 x 48.5 x 22.4 mm (3.54 x 1.91 x 0.88 in),90 g (3.17 oz),,128 x 160 pixels,No,,Yes,No,No,Removable Li-Ion battery,
Maxon MX-C60,MAXON,87333,7,2003,80 x 45 x 22.9 mm (3.15 x 1.77 x 0.90 in),85 g (3.00 oz),,"128 x 128 pixels, 8 lines, 1:1 ratio",No,,No,,No,Removable Li-Ion 900 mAh battery,
Maxon MX-C20,MAXON,87028,8,2003,91 x 46 x 23 mm (3.58 x 1.81 x 0.91 in),90 g (3.17 oz),,"128 x 160 pixels, 7 lines",No,,Yes,No,No,Removable Li-Po battery,
Maxon MX-C110,MAXON,79814,6,2004,86 x 46 x 21 mm (3.39 x 1.81 x 0.83 in),85 g (3.00 oz),,-,No,,VGA,No,No,Removable Li-Ion battery,
Maxon MX-E10,MAXON,100116,7,2003,91 x 48 x 22.6 mm (3.58 x 1.89 x 0.89 in),90 g (3.17 oz),,"176 x 220 pixels, 10 lines",No,,Yes,No,No,Removable Li-Ion battery,
Maxon MX-V10,MAXON,83825,6,2004,78 x 37 x 20.5 mm (3.07 x 1.46 x 0.81 in),67 g (2.36 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion battery,
Maxon MX-V30,MAXON,82517,5,2004,81 x 43 x 21 mm (3.19 x 1.69 x 0.83 in),80 g (2.82 oz),,-,No,,No,,No,Removable Li-Ion battery,
Maxon MX-E80,MAXON,134526,5,2004,,,,-,No,,VGA,No,No,Removable Li-Ion battery,
Maxon MX-7990,MAXON,107589,8,2003,78 x 37 x 20.5 mm (3.07 x 1.46 x 0.81 in),67 g (2.36 oz),,"128 x 128 pixels, 8 lines, 1:1 ratio",No,,No,,No,Removable Li-Ion 900 mAh battery,
Maxon MX-7750,MAXON,84208,5,2004,85 x 45 x 21 mm (3.35 x 1.77 x 0.83 in),81 g (2.86 oz),,-,No,,No,,No,Removable Li-Ion battery,
Maxon MX-C11,MAXON,77413,5,2004,85 x 45 x 21 mm (3.35 x 1.77 x 0.83 in),81 g (2.86 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion battery,
Maxon MX-C160,MAXON,94684,7,2004,65 x 37 x 22 mm (2.56 x 1.46 x 0.87 in),59 g (2.08 oz),,-,No,,No,,No,Removable Li-Ion battery,
Maxon MX-7940,MAXON,74812,5,2003,80 x 45 x 24 mm (3.15 x 1.77 x 0.94 in),85 g (3.00 oz),,"128 x 128 pixels, 8 lines, 1:1 ratio",No,,No,,No,Removable Li-Ion 900 mAh battery,
