Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Maxwest Nitro 55M,MAXWEST,119270,4,"2016, October. Released 2017, January",152.9 x 77.6 x 8.2 mm (6.02 x 3.06 x 0.32 in),180 g (6.35 oz),"5.5 inches, 83.4 cm2 (~70.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, AF",2 MP,"4.0, A2DP","Li-Ion 2800 mAh, removable",
Maxwest Nitro 55 LTE,MAXWEST,84656,1,"2016, November. Released 2017, January",153 x 77.6 x 7.9 mm (6.02 x 3.06 x 0.31 in),163 g (5.75 oz),"5.5 inches, 83.4 cm2 (~70.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, AF",2 MP,"4.0, A2DP","Li-Ion 3000 mAh, removable",
Maxwest Nitro 5M,MAXWEST,68853,1,"2016, September. Released 2016, December",144.2 x 73 x 10.3 mm (5.68 x 2.87 x 0.41 in),148 g (5.22 oz),"5.0 inches, 68.9 cm2 (~65.4% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,8GB 1GB RAM,5 MP,2 MP,"2.1, EDR","Li-Ion 2200 mAh, removable",
Maxwest Astro 5s,MAXWEST,84482,2,"2016, July. Released 2016, August",144.4 x 72 x 9.1 mm (5.69 x 2.83 x 0.36 in),150 g (5.29 oz),"5.0 inches, 68.9 cm2 (~66.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, AF",2 MP,"4.0, A2DP","Li-Ion 2000 mAh, removable",
Maxwest Gravity 5 LTE,MAXWEST,106351,1,"2016, January. Released 2016, February",145.5 x 72.8 x 8.9 mm (5.73 x 2.87 x 0.35 in),155 g (5.47 oz),"5.0 inches, 68.9 cm2 (~65.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC,8GB 1GB RAM,"8 MP, AF",2 MP,4.1,"Li-Ion 2200 mAh, removable",
Maxwest Astro X4,MAXWEST,72852,0,"2016, January. Released 2016, February",123.5 x 64 x 9.8 mm (4.86 x 2.52 x 0.39 in),122 g (4.30 oz),"4.0 inches, 45.5 cm2 (~57.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,4GB 512MB RAM,3.15 MP,"VGA, LED flash","4.0, A2DP","Li-Ion 1400 mAh, removable",
Maxwest Astro X55,MAXWEST,185616,8,"2016, January. Released 2016, February",150.5 x 76.3 x 7.8 mm (5.93 x 3.00 x 0.31 in),174 g (6.14 oz),"5.5 inches, 83.4 cm2 (~72.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, AF",5 MP,"4.0, A2DP","Li-Ion 2200 mAh, removable",
Maxwest Vice,MAXWEST,100735,2,"2016, January. Released 2016, January",106 x 52 x 13.6 mm (4.17 x 2.05 x 0.54 in),87 g (3.07 oz),"2.4 inches, 17.8 cm2 (~32.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC (dedicated slot),64MB 64MB RAM,VGA,No,2.0,"Li-Ion 900 mAh, removable",
Maxwest Gravity 5.5 LTE,MAXWEST,142763,4,"2015, June. Released 2015, September",155.5 x 78 x 7.5 mm (6.12 x 3.07 x 0.30 in),165 g (5.82 oz),"5.5 inches, 83.4 cm2 (~68.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDHC,8GB 1GB RAM,"13 MP, AF",5 MP,"4.0, A2DP","Li-Ion 3000 mAh, non-removable",
Maxwest Gravity 5,MAXWEST,105805,2,"2015, July. Released 2015, September",145.4 x 72 x 9.1 mm (5.72 x 2.83 x 0.36 in),150 g (5.29 oz),"5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, AF",2 MP,2.0,"Li-Ion 2700 mAh, removable",
