Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Parla Minu P124,PARLA,71570,0,"2015, November. Released 2016, February",112 x 48.5 x 13 mm (4.41 x 1.91 x 0.51 in),83 g (2.93 oz),"1.8 inches, 10.2 cm2 (~18.8% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSDHC (dedicated slot),4MB 4MB RAM,VGA,No,2.1,"Li-Ion 600 mAh, removable",
Parla Sonic 3.5S,PARLA,82778,2,"2015, June. Released 2015, July",117.8 x 63 x 11.7 mm (4.64 x 2.48 x 0.46 in),98 g (3.46 oz),"3.5 inches, 36.5 cm2 (~49.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC,512MB 256MB RAM,"2 MP, AF",No,"2.1, EDR","Li-Ion 1300 mAh, removable",
Parla Minu P123,PARLA,72503,3,"2014, September. Released 2014, November",106.5 x 45 x 14 mm (4.19 x 1.77 x 0.55 in),73 g without battery (2.57 oz),"1.8 inches, 10.2 cm2 (~21.3% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSDHC,32Mb 32Mb RAM,VGA,No,2.0,"Li-Ion 600 mAh, removable",
Parla Sonic 3.5,PARLA,102572,4,"2013, September. Released 2013, Q4",116 x 62.2 x 11.6 mm (4.57 x 2.45 x 0.46 in),105 g (3.70 oz),"3.5 inches, 36.5 cm2 (~50.6% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC (dedicated slot),512MB 512MB RAM,2 MP,No,"2.1, A2DP","Li-Ion 1300 mAh, removable",
Parla Zum Bianco,PARLA,71920,1,"2013, September. Released 2013, Q4",103.8 x 45.8 x 13.4 mm (4.09 x 1.80 x 0.53 in),90 g (3.17 oz),"1.8 inches, 10.2 cm2 (~21.4% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSDHC (dedicated slot),32Mb 32Mb RAM,VGA,No,2.0,"Li-Ion 600 mAh, removable",
Parla Minu,PARLA,69392,1,"2013, September. Released 2013, Q4",110.6 x 46.4 x 13.7 mm (4.35 x 1.83 x 0.54 in),70 g (2.47 oz),"1.8 inches, 10.2 cm2 (~19.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSDHC (dedicated slot),32Mb 32Mb RAM,VGA,No,"2.1, A2DP","Li-Ion 600 mAh, removable",
Parla Gala,PARLA,131772,12,"2012, June. Released 2012, Q4",105.5 x 59 x 12.9 mm (4.15 x 2.32 x 0.51 in),90 g without battery (3.17 oz),"2.3 inches, 16.4 cm2 (~26.3% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~174 ppi density)",microSDHC (dedicated slot),128Mb 64Mb RAM,2 MP,No,"2.1, A2DP","Li-Ion 800 mAh, removable",
Parla Spriz,PARLA,93527,12,"2012, June. Released 2012, Q4",104.6 x 57.2 x 13 mm (4.12 x 2.25 x 0.51 in),90 g without battery (3.17 oz),"2.0 inches, 12.4 cm2 (~20.7% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~200 ppi density)",microSDHC (dedicated slot),128Mb 64Mb RAM,2 MP,No,"2.1, A2DP","Li-Ion 700 mAh, removable",
Parla Mist,PARLA,86703,8,"2012, June. Released 2012, Q4",104.6 x 57 x 12.9 mm (4.12 x 2.24 x 0.51 in),90 g without battery (3.17 oz),"1.8 inches, 10.2 cm2 (~17.1% screen-to-body ratio)",160 x 128 pixels (~114 ppi density),microSDHC (dedicated slot),32Mb 32Mb RAM,VGA,No,"2.1, A2DP","Li-Ion 700 mAh, removable",
Parla Zum,PARLA,98767,10,"2012, June. Released 2012, Q4",103.8 x 45.8 x 13.4 mm (4.09 x 1.80 x 0.53 in),90 g without battery (3.17 oz),"1.8 inches, 10.2 cm2 (~21.4% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSDHC (dedicated slot),32Mb 16Mb RAM,VGA,No,No,"Li-Ion 700 mAh, removable",
