Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Philips PH2,PHILIPS,59707,13,"2021, December 08",156.2 x 75.3 x 9 mm (6.15 x 2.96 x 0.35 in),170 g (6.00 oz),"6.21 inches, 96.3 cm2 (~81.8% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)",microSDXC,128GB 4GB RAM,"13 MP, (wide), AF
2 MP",5 MP,"4.2, A2DP","Li-Ion 3900 mAh, non-removable",About 110 EUR
Philips PH1,PHILIPS,43695,22,"2021, December 20",165.5 x 76.5 x 9.5 mm (6.52 x 3.01 x 0.37 in),194 g (6.84 oz),"6.51 inches, 109.4 cm2 (~86.4% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~247 ppi density)",microSDXC,"32GB 4GB RAM, 64GB 4GB RAM, 128GB 4GB RAM","13 MP, (wide), AF
3 MP",5 MP,"4.2, A2DP","Li-Ion 4700 mAh, non-removable",About 70 EUR
Philips S337,PHILIPS,227594,7,"2015, October. Released 2015, November",144.8 x 72.5 x 10.4 mm (5.70 x 2.85 x 0.41 in),152 g (5.36 oz),"5.0 inches, 68.9 cm2 (~65.6% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC (dedicated slot),8GB 1GB RAM,"5 MP, AF",VGA,"4.0, A2DP","Li-Ion 2000 mAh, removable",
Philips S309,PHILIPS,112256,4,"2015, July. Released 2015, July",127.6 x 64.7 x 10.8 mm (5.02 x 2.55 x 0.43 in),127 g (4.48 oz),"4.0 inches, 45.5 cm2 (~55.2% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC (dedicated slot),8GB 1GB RAM,"5 MP, AF",VGA,"4.0, A2DP","Li-Ion 1600 mAh, removable",
Philips V787,PHILIPS,134072,8,"2015, December. Released 2015, December",143 x 71.6 x 9.8 mm (5.63 x 2.82 x 0.39 in),164 g (5.78 oz),"5.0 inches, 68.9 cm2 (~67.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",microSDHC (dedicated slot),16GB 2GB RAM,"13 MP, AF",5 MP,"4.0, A2DP","Li-Ion 5000 mAh, non-removable",
Philips V377,PHILIPS,87251,5,"2015, December. Released 2015, December",145 x 74 x 10.9 mm (5.71 x 2.91 x 0.43 in),190 g (6.70 oz),"5.0 inches, 68.9 cm2 (~64.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC (dedicated slot),8GB 1GB RAM,"5 MP, AF",Yes,"4.0, A2DP","Li-Ion 5000 mAh, non-removable",
Philips S616,PHILIPS,105283,7,"2015, November. Released 2015, November",143 x 71.6 x 9.8 mm (5.63 x 2.82 x 0.39 in),164 g (5.78 oz),"5.5 inches, 83.4 cm2 (~81.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",microSDXC (dedicated slot),16GB 2GB RAM,"13 MP, AF",Yes,"4.0, A2DP",Li-Ion 3000 mAh battery,
Philips I928,PHILIPS,93410,6,"2015, September. Released 2015, September",160.1 x 81.8 x 8.2 mm (6.30 x 3.22 x 0.32 in),168 g (5.93 oz),"6.0 inches, 99.2 cm2 (~75.8% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",microSDHC (dedicated slot),16GB 2GB RAM,"13 MP, f/2.0, AF",2 MP,"3.0, A2DP",Li-Ion 3000 mAh battery,
Philips V526,PHILIPS,72581,3,"2015, August. Released 2015, August",145 x 73.4 x 10 mm (5.71 x 2.89 x 0.39 in),189 g (6.67 oz),"5.0 inches, 68.9 cm2 (~64.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (dedicated slot),8GB 1GB RAM,"13 MP, AF",5 MP,"4.0, A2DP",Li-Ion 5000 mAh battery,
Philips I908,PHILIPS,69840,4,"2015, August. Released 2015, August",143 x 70 x 8.8 mm (5.63 x 2.76 x 0.35 in),156 g (5.50 oz),"5.0 inches, 68.9 cm2 (~68.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",microSDHC (dedicated slot),16GB 2GB RAM,"13 MP, f/2.2, AF",5 MP,"4.1, A2DP",Li-Ion 3000 mAh battery,
