Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Plum Ram 10 LTE,PLUM,28957,0,"2022, January 18",133.4 x 64.4 x 15.8 mm (5.25 x 2.54 x 0.62 in),109 g (3.84 oz),"2.4 inches, 17.8 cm2 (~20.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC,"128MB, 48MB RAM",2 MP,1.3 MP,Yes,"Li-Ion 1700 mAh, removable",
Plum Ram Plus LTE,PLUM,20087,2,"2022, February 02",111.5 x 57.5 x 22 mm (4.39 x 2.26 x 0.87 in),108.4 g (3.81 oz),"2.4 inches, 17.8 cm2 (~27.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC,"128MB, 48MB RAM",2 MP,,Yes,"Li-Ion 1200 mAh, removable",
Plum Flipper LTE,PLUM,19191,2,"2022, February 02",103 x 53 x 21.2 mm (4.06 x 2.09 x 0.83 in),80 g (2.82 oz),"2.4 inches, 17.8 cm2 (~32.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC,"128MB, 64MB RAM",0.3 MP,,Yes,"Li-Ion 1000 mAh, removable",
Plum Gator 6,PLUM,26847,1,"2020, February 01",152.2 x 75.5 x 14 mm (5.99 x 2.97 x 0.55 in),225 g (7.94 oz),"5.5 inches, 78.1 cm2 (~67.9% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",microSDXC,16GB 3GB RAM,"8 MP, AF",2 MP,"4.0, A2DP, LE",Li-Po 4400 mAh,
Plum Ram 9,PLUM,20124,1,"2020, February 10",133.4 x 64.4 x 15.8 mm (5.25 x 2.54 x 0.62 in),109 g (3.84 oz),"2.4 inches, 17.8 cm2 (~20.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC,4GB 512MB RAM,5 MP,1.3 MP,4.0,"Li-Ion 1700 mAh, removable",
Plum Gator 7,PLUM,29806,4,"2021, September 01",157.5 x 78.1 x 13.7 mm (6.20 x 3.07 x 0.54 in),261 g (9.21 oz),"5.7 inches, 83.8 cm2 (~68.2% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)",microSDXC (dedicated slot),32GB 3GB RAM,"8 MP, AF",5 MP,"5.0, A2DP, LE","Li-Po 5580 mAh, non-removable",
Plum Tag 2 3G,PLUM,81074,2,"2019, January",123 x 53 x 13.7 mm (4.84 x 2.09 x 0.54 in),85 g (3.00 oz),"2.4 inches, 17.8 cm2 (~27.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC,512MB 256MB RAM,1.3 MP,No,2.0,"Li-Ion 800 mAh, removable",
Plum Phantom 2,PLUM,75147,4,"2018, December",155.9 x 75.8 x 10.4 mm (6.14 x 2.98 x 0.41 in),195 g (6.88 oz),"5.72 inches, 84.4 cm2 (~71.5% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~188 ppi density)",microSDHC,8GB 1GB RAM,8 MP,5 MP,"4.0, A2DP","Li-Ion 2700 mAh, removable",
Plum Flipper 2,PLUM,52436,4,"2018, December",99.9 x 52 x 14.9 mm (3.93 x 2.05 x 0.59 in),76 g (2.68 oz),"2.4 inches, 17.8 cm2 (~34.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC,"32MB ROM, 32MB RAM",1.3 MP,No,2.0,"Li-Ion 750 mAh, removable",
Plum Ram 8,PLUM,76236,4,"2018, December",111.5 x 57.5 x 22 mm (4.39 x 2.26 x 0.87 in),134 g (4.73 oz),"2.4 inches, 17.8 cm2 (~27.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC,128MB 64MB RAM,5 MP,,3.0,"Li-Ion 1200 mAh, removable",
Plum Gator 5,PLUM,58201,3,"2018, October",148 x 76.3 x 12 mm (5.83 x 3.00 x 0.47 in),210 g (7.41 oz),"5.2 inches, 74.5 cm2 (~66.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",microSDXC,16GB 2GB RAM,"13 MP, AF",5 MP,"4.0, A2DP","Li-Ion 3700 mAh, non-removable",
Plum Tag 3G,PLUM,62262,1,"2018, March",126.5 x 55 x 15 mm (4.98 x 2.17 x 0.59 in),82 g (2.89 oz),"2.4 inches, 17.8 cm2 (~25.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC,"128MB ROM, 64MB RAM",1.3 MP,No,"2.1, EDR","Li-Ion 800 mAh, removable",
Plum Compass 2,PLUM,45682,0,"2018, March",144 x 72.7 x 9.8 mm (5.67 x 2.86 x 0.39 in),165 g (5.82 oz),"5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, AF",2 MP,"2.1, EDR","Li-Ion 2000 mAh, removable",
Plum Flipper (2018),PLUM,61880,1,"2018, March",104.2 x 50 x 17.8 mm (4.10 x 1.97 x 0.70 in),96.2 g (3.39 oz),"2.4 inches, 17.8 cm2 (~34.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC,"32MB ROM, 32MB RAM",1.3 MP,No,3.0,"Li-Ion 600 mAh, removable",
Plum Axe 4,PLUM,53521,2,"2017, December. Released 2018, January",124 x 64 x 9.9 mm (4.88 x 2.52 x 0.39 in),107 g (3.77 oz),"4.0 inches, 45.5 cm2 (~57.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,8GB 512MB RAM,5 MP,2 MP,"4.0, A2DP","Li-Ion 1400 mAh, removable",
Plum Compass LTE,PLUM,46808,0,"2017, November. Released 2018, January",150 x 71.6 x 9.3 mm (5.91 x 2.82 x 0.37 in),146 g (5.15 oz),"5.0 inches, 68.9 cm2 (~64.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,8GB 1GB RAM,8 MP,5 MP,"4.0, A2DP","Li-Ion 2100 mAh, removable",
Plum Gator 4,PLUM,74545,1,"2017, October. Released 2017, November",146.6 x 75.9 x 14 mm (5.77 x 2.99 x 0.55 in),221.5 g (7.83 oz),"5.0 inches, 68.9 cm2 (~61.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC,8GB 1GB RAM,"13 MP, AF",5 MP,"4.0, A2DP","Li-Ion 5000 mAh, non-removable",
Plum Phantom,PLUM,57857,1,"2017, September. Released 2017, October",165.5 x 84.2 x 8.8 mm (6.52 x 3.31 x 0.35 in),138 g (4.87 oz),"6.0 inches, 99.2 cm2 (~71.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",microSDXC,16GB 1GB RAM,13 MP,8 MP,"4.0, A2DP","Li-Ion 2500 mAh, removable",
Plum Ram 6,PLUM,80132,4,"2017, June. Released 2017, June",133 x 61 x 19.3 mm (5.24 x 2.40 x 0.76 in),107.3 g (3.77 oz),"2.4 inches, 17.8 cm2 (~22.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC,128MB 64MB RAM,1.3 MP,No,3.0,"Li-Ion 1700 mAh, removable",
Plum Play,PLUM,80181,1,"2016, December. Released 2017, January",116 x 47.5 x 14.1 mm (4.57 x 1.87 x 0.56 in),60 g (2.12 oz),"1.77 inches, 9.9 cm2 (~17.9% screen-to-body ratio)",128 x 160 pixels (~116 ppi density),microSDHC,"32MB ROM, 32MB RAM",1.3 MP,No,2.1,"Li-Ion 600 mAh, removable",
Plum Ram 7 - 3G,PLUM,122194,10,"2016, December. Released 2017, February",133 x 61 x 19.3 mm (5.24 x 2.40 x 0.76 in),107.3 g (3.77 oz),"2.4 inches, 17.8 cm2 (~22.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC,128MB 64MB RAM,5 MP,1.3 MP,3.0,"Li-Ion 1700 mAh, removable",
Plum Compass,PLUM,87940,3,"2016, December. Released 2017, January",146 x 72.6 x 9.8 mm (5.75 x 2.86 x 0.39 in),168.7 g (5.93 oz),"5.0 inches, 68.9 cm2 (~65.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, AF",2 MP,"4.0, A2DP","Li-Ion 2000 mAh, removable",
Plum Hero,PLUM,71825,2,"2016, December. Released 2016, December",112.5 x 48 x 12.8 mm (4.43 x 1.89 x 0.50 in),46.5 g (1.66 oz),"1.8 inches, 10.2 cm2 (~18.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSDHC,"32MB ROM, 32MB RAM",Yes,No,2.0,"Li-Ion 600 mAh, removable",
Plum Gator 3,PLUM,113044,5,"2016, September. Released 2016, November",137.5 x 74 x 16.7 mm (5.41 x 2.91 x 0.66 in),146.7 g (5.19 oz),"4.0 inches, 45.5 cm2 (~44.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDXC,8GB 1GB RAM,"8 MP, AF",1.3 MP,"4.0, A2DP","Li-Po 2400 mAh, removable",
Plum Axe Plus 2,PLUM,101567,1,"2016, May. Released 2016, May",124.5 x 64.3 x 10.5 mm (4.90 x 2.53 x 0.41 in),108.5 g (3.84 oz),"4.0 inches, 45.5 cm2 (~56.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,8GB 512MB RAM,"5 MP, AF",1.3 MP,"4.0, LE","Li-Ion 1400 mAh, removable",
Plum Ram 4,PLUM,125649,4,"2016, April. Released 2016, April",133 x 61 x 19.3 mm (5.24 x 2.40 x 0.76 in),107.3 g (3.77 oz),"2.4 inches, 17.8 cm2 (~22.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC,32MB 32MB RAM,1.3 MP,No,"4.0, A2DP","Li-Ion 2700 mAh, removable",
Plum Star,PLUM,82100,0,"2016, May. Released 2016, May",112.5 x 48 x 12.8 mm (4.43 x 1.89 x 0.50 in),46.5 g (1.66 oz),"1.8 inches, 10.2 cm2 (~18.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSDHC,"32MB ROM, 32MB RAM",Yes,No,2.0,"Li-Ion 600 mAh, removable",
Plum Might Plus II,PLUM,97399,1,"2016, March. Released 2016, March",145.9 x 72.9 x 8.9 mm (5.74 x 2.87 x 0.35 in),116.2 g (4.09 oz),"5.0 inches, 68.9 cm2 (~64.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDXC,"4GB 512MB RAM, 8GB 512MB RAM","8 MP, f/2.8, AF",2 MP,"4.0, A2DP","Li-Po 2000 mAh, removable",
Plum Axe LTE,PLUM,90374,2,"2015, September. Released 2015, December",128.8 x 58.2 x 8.9 mm (5.07 x 2.29 x 0.35 in),124 g (4.37 oz),"4.0 inches, 44.1 cm2 (~58.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~245 ppi density)",microSDHC,8GB 1GB RAM,"5 MP, AF",1.3 MP,"4.0, A2DP","Li-Po 1600 mAh, removable",
Plum Check LTE,PLUM,89982,1,"2015, November. Released 2015, December",130.8 x 61.2 x 9.3 mm (5.15 x 2.41 x 0.37 in),138 g (4.87 oz),"4.5 inches, 55.8 cm2 (~69.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~326 ppi density)",microSDHC,8GB 1GB RAM,5 MP,1.3 MP,"4.0, A2DP","Li-Po 1600 mAh, removable",
Plum Boot 2,PLUM,73618,1,"2015, November. Released 2015, December",89 x 44 x 17 mm (3.50 x 1.73 x 0.67 in),82 g (2.89 oz),"1.77 inches, 9.9 cm2 (~25.2% screen-to-body ratio)",128 x 160 pixels (~116 ppi density),microSDHC,"128MB ROM, 64MB RAM",1.3 MP,No,2.1,"Li-Ion 800 mAh, removable",
Plum Ram 3G,PLUM,101510,1,"2015, June. Released 2015, November",125.6 x 56.2 x 17 mm (4.94 x 2.21 x 0.67 in),174 g (6.14 oz),"2.4 inches, 17.8 cm2 (~25.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSDHC,"64MB RAM, 128MB",2 MP,No,"3.0, A2DP","Li-Po 1300 mAh, removable",
Plum Sync 4.0b,PLUM,88790,0,"2015, June. Released 2015, July",124.5 x 63.5 x 10.4 mm (4.90 x 2.5 x 0.41 in),84.8 g (3.00 oz),"4.0 inches, 45.5 cm2 (~57.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,512MB 256MB RAM,1.3 MP,1.3 MP,2.0,"Li-Ion 1300 mAh, removable",
Plum Gator Plus II,PLUM,124081,0,"2015, June. Released 2015, July",121 x 66 x 16.4 mm (4.76 x 2.60 x 0.65 in),171.5 g (6.07 oz),"3.5 inches, 36.5 cm2 (~45.7% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC,4GB 512MB RAM,5 MP,1.3 MP,"4.0, A2DP","Li-Po 2100 mAh, removable",
Plum Ram Plus,PLUM,114685,2,"2015, June. Released 2015, August",127.8 x 60.5 x 23.8 mm (5.03 x 2.38 x 0.94 in),188 g (6.63 oz),"2.0 inches, 12.6 cm2 (~16.3% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),microSDHC,128Mb 32Mb RAM,1.3 MP,No,2.0,"Li-Po 2800 mAh, removable",
Plum Coach Pro,PLUM,140845,7,"2014, December. Released 2015, January",157.8 x 74 x 9.9 mm (6.21 x 2.91 x 0.39 in),156 g (5.50 oz),"6.0 inches, 99.2 cm2 (~85.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",microSDXC,16GB 1GB RAM,"8 MP, AF",2 MP,"4.0, A2DP","Li-Ion 2400 mAh, removable",
Plum Trigger Plus III,PLUM,90065,1,"2015, January. Released 2015, January",117.8 x 61.5 x 10.5 mm (4.64 x 2.42 x 0.41 in),97.5 g (3.42 oz),"3.5 inches, 36.5 cm2 (~50.3% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC,512MB 256MB RAM,"1.3 MP, AF",1.3 MP,"4.0, A2DP","Li-Ion 1300 mAh, removable",
Plum Might LTE,PLUM,116309,5,"2014, September. Released 2014, October",143.3 x 73.9,138 g (4.87 oz),"5.0 inches, 68.9 cm2 (~65.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDXC (dedicated slot),8GB 1GB RAM,"8 MP, AF",2 MP,"4.0, A2DP","Li-Ion 2000 mAh, removable",
Plum Sync 5.0,PLUM,127803,5,"2014, May. Released 2014, August",145.6 x 71.2 x 9.6 mm (5.73 x 2.80 x 0.38 in),109 g (3.84 oz),"5.0 inches, 68.9 cm2 (~66.5% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,4GB 512MB RAM,"5 MP, AF",1.3 MP,"4.0, A2DP","Li-Ion 1900 mAh, removable",
