Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Posh Memo Pro LTE L600,POSH,83937,3,"2016, August. Released 2016, December",161.5 x 85.6 x 7.9 mm (6.36 x 3.37 x 0.31 in),187.6 g (6.63 oz),"6.0 inches, 99.2 cm2 (~71.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",microSDXC,16GB 1GB RAM,"8 MP, AF",5 MP,"4.0, A2DP",Li-Po 2700 mAh battery,
Posh Equal Plus X700,POSH,53284,4,"2016, September. Released 2017, January",192.1 x 107.9 x 9.9 mm (7.56 x 4.25 x 0.39 in),275 g (9.70 oz),"7.0 inches, 137.9 cm2 (~66.5% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",microSDXC,16GB 1GB RAM,5 MP,2 MP,"4.1, A2DP, LE",Li-Po 2650 mAh battery,
Posh Ultra Max LTE L550,POSH,53721,2,"2016, August. Released 2016, December",152.1 x 76.8 x 7.3 mm (5.99 x 3.02 x 0.29 in),177 g (6.24 oz),"5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDXC,16GB 1GB RAM,"8 MP, AF",2 MP,"4.1, A2DP, LE",Li-Po 2700 mAh battery,
Posh Kick Pro LTE L520,POSH,50447,0,"2015, November. Released 2016, April",142.5 x 71.5 x 8.6 mm (5.61 x 2.81 x 0.34 in),130 g (4.59 oz),"5.0 inches, 68.9 cm2 (~67.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, AF",5 MP,"4.0, A2DP, EDR","Li-Ion 2000 mAh, removable",
Posh Optima LTE L530,POSH,62892,2,"2016, February. Released 2016, April",143.5 x 69.4 x 8 mm (5.65 x 2.73 x 0.31 in),133 g (4.69 oz),"5.0 inches, 68.9 cm2 (~69.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,16GB 2GB RAM,"13 MP, f/2.2, 1/3.1"", 1.12µm, AF","13 MP, f/2.2, 1/3"", AF","4.0, A2DP, EDR","Li-Po 3000 mAh, non-removable",
Posh Icon HD X551,POSH,57625,0,"2015, November. Released 2016, January",153.2 x 79 x 8.2 mm (6.03 x 3.11 x 0.32 in),115 g (4.06 oz),"5.5 inches, 83.4 cm2 (~68.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDHC,16GB 1GB RAM,"8 MP, AF",2 MP,"4.0, A2DP, EDR","Li-Po 2100 mAh, removable",
Posh Volt LTE L540,POSH,82806,2,"2016, March. Released 2016, May",143.8 x 72 x 10 mm (5.66 x 2.83 x 0.39 in),167.5 g (5.93 oz),"5.0 inches, 68.9 cm2 (~66.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC,16GB 3GB RAM,"8 MP, f/2.4, 1/4.0"", 1.12µm, AF","5 MP, f/2.2, 1/5"", 1.12µm","4.0, A2DP, LE","Li-Po 4000 mAh, non-removable",
Posh Volt Max LTE L640,POSH,74995,5,"2016, March. Released 2016, June",176 x 89.3 x 8.1 mm (6.93 x 3.52 x 0.32 in),230 g (8.11 oz),"6.44 inches, 123.5 cm2 (~78.6% screen-to-body ratio)","1280 x 1920 pixels, 3:2 ratio (~358 ppi density)",No,"32GB 3GB RAM, 64GB 3GB RAM","13 MP, f/2.4, 1/3.1"", 1.12µm, AF","8 MP, f/2.2, 1/4"", 1.12µm","4.1, A2DP, LE","Li-Po 6000 mAh, non-removable",
Posh Equal Pro LTE L700,POSH,63971,5,"2016, February. Released 2016, March",192 x 101.6 x 8.4 mm (7.56 x 4.0 x 0.33 in),248 g (5.22 oz),"6.95 inches, 133.2 cm2 (~68.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~211 ppi density)",microSDHC,16GB 1GB RAM,"5 MP, AF",2 MP,"4.0, A2DP, LE","Li-Po 2800 mAh, non-removable",
Posh Primo Plus C353,POSH,55947,0,"2015, May. Released 2015, August",116 x 63 x 10.4 mm (4.57 x 2.48 x 0.41 in),96.1 g (3.39 oz),"3.5 inches, 36.5 cm2 (~49.9% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC,512MB 256MB RAM,VGA,VGA,"2.1, EDR",Li-Po 1300 mAh battery,
