Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Prestigio MultiPhone 5508 Duo,PRESTIGIO,225822,8,2014. Released 2014,142.5 x 70.8 x 8.3 mm (5.61 x 2.79 x 0.33 in),129 g (4.55 oz),"5.0 inches, 68.9 cm2 (~68.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",No,16GB 1GB RAM,"13 MP, AF",5 MP,"4.0, A2DP","Li-Ion 2300 mAh, non-removable",
Prestigio MultiPhone 5504 Duo,PRESTIGIO,141822,6,2014. Released 2014,147.1 x 72.5 x 8.5 mm (5.79 x 2.85 x 0.33 in),160 g (5.64 oz),"5.0 inches, 68.9 cm2 (~64.6% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, AF",2 MP,"4.0, A2DP","Li-Ion 1950 mAh, removable",
Prestigio MultiPhone 5503 Duo,PRESTIGIO,101864,2,2014. Released 2014,144 x 73.3 x 10.9 mm (5.67 x 2.89 x 0.43 in),170 g (6.00 oz),"5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",microSDHC,4GB 1GB RAM,8 MP,2 MP,3.0,"Li-Ion 4000 mAh, removable",
Prestigio MultiPhone 8500 Duo,PRESTIGIO,194744,23,"2014, July. Released 2014, August",8.5 mm thickness,-,"5.0 inches, 68.9 cm2","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, AF",2 MP,"4.0, A2DP","Li-Ion 2000 mAh, removable",About 170 EUR
Prestigio MultiPhone 8400 Duo,PRESTIGIO,111020,8,"2014, July. Released 2014, August",11 mm thickness,-,"4.0 inches, 45.5 cm2","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,4GB 512MB RAM,"8 MP, AF",VGA,"4.0, A2DP","Li-Ion 2000 mAh, removable",About 90 EUR
Prestigio MultiPad 4 Quantum 10.1 3G,PRESTIGIO,108885,3,"2014, Q1. Released 2014, Q1",260 x 170 x 9.5 mm (10.24 x 6.69 x 0.37 in),612 g (1.35 lb),"10.1 inches, 295.8 cm2 (~66.9% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",microSDHC (dedicated slot),16GB 1GB RAM,2 MP,VGA,3.0,"Li-Po 7000 mAh, non-removable",About 220 EUR
Prestigio MultiPad 4 Quantum 9.7 Colombia,PRESTIGIO,74672,7,"2014, Q1. Released 2014, Q1",241.5 x 185 x 9.2 mm (9.51 x 7.28 x 0.36 in),621 g (1.37 lb),"9.7 inches, 291.4 cm2 (~65.2% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)",microSDHC (dedicated slot),16GB 2GB RAM,5 MP,2 MP,"4.0, A2DP","Li-Po 8000 mAh, non-removable",About 200 EUR
Prestigio MultiPad 4 Ultra Quad 8.0 3G,PRESTIGIO,101445,5,"2014, Q1. Released 2014, Q1",204.3 x 157.2 x 9.8 mm (8.04 x 6.19 x 0.39 in),450 g (0.99 lb),"8.0 inches, 198.2 cm2 (~61.7% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~160 ppi density)",microSDHC (dedicated slot),16GB 1GB RAM,5 MP,2 MP,"4.0, LE","Li-Po 4600 mAh, non-removable",About 190 EUR
Prestigio MultiPhone 7600 Duo,PRESTIGIO,230619,16,"2014, Q1. Released 2014, Q1",166.5 x 84.4 x 8.4 mm (6.56 x 3.32 x 0.33 in),191 g (6.74 oz),"6.0 inches, 99.2 cm2 (~70.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",microSDHC,4GB 1GB RAM,"13 MP, AF",8 MP,"4.0, A2DP","Li-Po 2600 mAh, removable",About 270 EUR
Prestigio MultiPhone 7500,PRESTIGIO,214303,15,"2014, Q1. Released 2014, Q1",144 x 70.5 x 9.9 mm (5.67 x 2.78 x 0.39 in),146 g (5.15 oz),"5.0 inches, 68.9 cm2 (~67.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",microSDHC (dedicated slot),"16GB 1GB RAM, 32GB 2GB RAM","13 MP, AF",8 MP,"4.0, A2DP","Li-Po 2300 mAh, non-removable",About 280 EUR
Prestigio MultiPhone 5501 Duo,PRESTIGIO,107896,1,"2014, Q1. Released 2014, Q1",149.6 x 75 x 9.5 mm (5.89 x 2.95 x 0.37 in),135 g (4.76 oz),"5.0 inches, 68.9 cm2 (~61.4% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC (dedicated slot),4GB 512MB RAM,"5 MP, AF",VGA,2.1,"Li-Ion 2000 mAh, removable",About 150 EUR
Prestigio MultiPhone 5500 Duo,PRESTIGIO,154429,3,"2014, Q1. Released 2014, Q1",146 x 75.3 x 10.6 mm (5.75 x 2.96 x 0.42 in),183 g (6.46 oz),"5.0 inches, 68.9 cm2 (~62.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,4GB 512MB RAM,"5 MP, AF",VGA,3.0,"Li-Ion 2000 mAh, removable",About 160 EUR
Prestigio MultiPhone 5451 Duo,PRESTIGIO,94503,1,"2014, Q1. Released 2014, Q1",134 x 67 x 10.3 mm (5.28 x 2.64 x 0.41 in),145 g (5.11 oz),"4.5 inches, 55.8 cm2 (~62.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",microSDHC,4GB 512MB RAM,"5 MP, AF",VGA,2.1,"Li-Ion 1500 mAh, removable",About 120 EUR
Prestigio MultiPhone 5450 Duo,PRESTIGIO,136642,4,"2014, Q1. Released 2014, Q1",134 x 67 x 10.3 mm (5.28 x 2.64 x 0.41 in),145 g (5.11 oz),"4.5 inches, 55.8 cm2 (~62.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",microSDHC,4GB 512MB RAM,"5 MP, AF",VGA,2.1,"Li-Ion 1500 mAh, removable",About 120 EUR
Prestigio MultiPhone 3400 Duo,PRESTIGIO,161541,5,2013. Released 2013,-,120 g (4.23 oz),"4.0 inches, 45.5 cm2","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC (dedicated slot),4GB 512MB RAM,3.15 MP,VGA,Yes,"Li-Ion 1500 mAh, removable",About 90 EUR
Prestigio MultiPhone 5430 Duo,PRESTIGIO,147728,8,2013. Released 2013,126 x 64.7 x 10 mm (4.96 x 2.55 x 0.39 in),140 g (4.94 oz),"4.3 inches, 51.0 cm2 (~62.5% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~256 ppi density)",microSDHC (dedicated slot),4GB 1GB RAM,"8 MP, AF",1.2 MP,"2.1, A2DP","Li-Ion 2000 mAh, removable",About 210 EUR
Prestigio MultiPhone 5400 Duo,PRESTIGIO,188875,8,2013. Released 2013,126 x 63.5 x 9.9 mm (4.96 x 2.5 x 0.39 in),132 g (4.66 oz),"4.0 inches, 45.5 cm2 (~56.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC (dedicated slot),4GB 512MB RAM,"8 MP, AF",VGA,Yes,"Li-Ion 1700 mAh, removable",About 120 EUR
Prestigio MultiPhone 5300 Duo,PRESTIGIO,303182,8,2013. Released 2013,147 x 77.2 x 9.9 mm (5.79 x 3.04 x 0.39 in),140 g (4.94 oz),"5.3 inches, 77.4 cm2 (~68.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~185 ppi density)",microSDHC (dedicated slot),4GB 1GB RAM,"8 MP, AF",1.2 MP,"4.0, A2DP","Li-Po 2100 mAh, removable",About 180 EUR
Prestigio MultiPhone 5044 Duo,PRESTIGIO,259395,38,2013. Released 2013,145 x 73 x 8.6 mm (5.71 x 2.87 x 0.34 in),130 g (4.59 oz),"5.0 inches, 68.9 cm2 (~65.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC (dedicated slot),4GB 1GB RAM,"8 MP, AF",2 MP,Yes,"Li-Po 2000 mAh, removable",About 200 EUR
Prestigio MultiPhone 5000 Duo,PRESTIGIO,124679,3,2013. Released 2013,148.5 x 79 x 10.2 mm (5.85 x 3.11 x 0.40 in),199 g (7.02 oz),"5.0 inches, 71.2 cm2 (~60.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~187 ppi density)",microSDHC (dedicated slot),4GB 512MB RAM,"5 MP, AF",VGA,"2.1, A2DP","Li-Po 2200 mAh, removable",About 150 EUR
Prestigio MultiPhone 4505 Duo,PRESTIGIO,113542,6,2013. Released 2013,130 x 66 x 10.5 mm (5.12 x 2.60 x 0.41 in),134 g (4.73 oz),"4.5 inches, 55.8 cm2 (~65.0% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",microSDHC (dedicated slot),4GB 512MB RAM,"8 MP, AF",VGA,"4.0, A2DP","Li-Po 1800 mAh, removable",About 120 EUR
