Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
QMobile Noir A1,QMOBILE,124390,6,"2017, June. Released 2017, July",154.5 x 76.5 x 8.3 mm (6.08 x 3.01 x 0.33 in),182 g (6.42 oz),"5.5 inches, 83.4 cm2 (~70.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",microSDXC (uses shared SIM slot),64GB 4GB RAM,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF","16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm","4.0, A2DP","Li-Ion 4010 mAh, non-removable",About 27500 INR
QMobile Noir E2,QMOBILE,130957,3,"2017, June. Released 2017, June",148.7 x 72.4 x 9.1 mm (5.85 x 2.85 x 0.36 in),-,"5.2 inches, 74.5 cm2 (~69.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",microSDXC (uses shared SIM slot),16GB 3GB RAM,"13 MP, f/2.2, AF","8 MP, f/2.2","4.0, A2DP","Li-Po 4000 mAh, removable",About 15500 INR
QMobile J7 Pro,QMOBILE,77574,1,"2017, May. Released 2017, May",154 x 76.6 x 9.2 mm (6.06 x 3.02 x 0.36 in),175 g (6.17 oz),"5.5 inches, 83.4 cm2 (~70.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDXC (uses shared SIM slot),32GB 3GB RAM,"13 MP, PDAF",8 MP,"4.0, A2DP","Li-Po 3150 mAh, non-removable",About 18000 INR
QMobile M6,QMOBILE,85690,6,"2017, March. Released 2017, March",152.3 x 75.3 x 8.2 mm (6.00 x 2.96 x 0.32 in),180 g (6.35 oz),"5.5 inches, 83.4 cm2 (~72.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",microSDXC (dedicated slot),64GB 4GB RAM,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF","8 MP, f/2.2, 1/4"", 1.12µm","4.0, A2DP","Li-Po 5000 mAh, non-removable",About 29500 INR
QMobile M6 Lite,QMOBILE,57423,0,"2017, March. Released 2017, March",144 x 71 x 10 mm (5.67 x 2.80 x 0.39 in),184 g (6.49 oz),"5.0 inches, 68.9 cm2 (~67.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (dedicated slot),16GB 3GB RAM,"13 MP, f/2.2, AF","5 MP, f/2.2","4.0, A2DP","Li-Po 4000 mAh, removable",About 16500 INR
QMobile King Kong Max,QMOBILE,60645,0,"2017, January. Released 2017, January",149 x 73.2 x 8.2 mm (5.87 x 2.88 x 0.32 in),162 g (5.71 oz),"5.3 inches, 77.4 cm2 (~71.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~277 ppi density)",microSDXC,32GB 3GB RAM,"13 MP, AF",5 MP,"4.0, A2DP","Li-Po 4000 mAh, non-removable",About 18500 INR
QMobile M350 Pro,QMOBILE,59792,0,"2017, February. Released 2017, February",145.5 x 71 x 9.4 mm (5.73 x 2.80 x 0.37 in),179 g (6.31 oz),"5.0 inches, 68.9 cm2 (~66.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (dedicated slot),16GB 2GB RAM,"8 MP, f/2.2, 1/4.0"", AF","5 MP, f/2.4","4.0, A2DP","Li-Ion 5000 mAh, non-removable",
QMobile Energy X2,QMOBILE,62980,0,"2017, February. Released 2017, February",143 x 73 x 9.9 mm (5.63 x 2.87 x 0.39 in),184 g (6.49 oz),"5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (dedicated slot),16GB 2GB RAM,"8 MP, f/2.0, AF",5 MP,"4.0, A2DP","Li-Ion 5000 mAh, non-removable",
QMobile E1,QMOBILE,68988,0,"2017, January. Released 2017, January",143.8 x 72 x 8.9 mm (5.66 x 2.83 x 0.35 in),-,"5.0 inches, 68.9 cm2 (~66.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC,16GB 3GB RAM,"8 MP, f/2.2, AF","5 MP, f/2.4","4.0, A2DP","Li-Po 4000 mAh, removable",
QMobile Noir S6 Plus,QMOBILE,57932,0,"2016, June. Released 2016, June",144.4 x 72.5 x 8.7 mm (5.69 x 2.85 x 0.34 in),150 g (5.29 oz),"5.5 inches, 83.4 cm2 (~79.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDXC,16GB 2GB RAM,"8 MP, f/2.0, 1/4.0"", AF","5 MP, f/2.0","4.0, A2DP","Li-Po 2500 mAh, removable",
