Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Sendo X2,SENDO,253901,11,"2005, Q1",85 cc,95 g (3.35 oz),"2.2 inches, 35 x 44 mm, 15.2 cm2",176 x 220 pixels (~128 ppi density),miniSD,32MB,1.3 MP,No,Yes,Removable Li-Ion battery,
Sendo S1,SENDO,86718,9,"2005, Q1",,83 g (2.93 oz),,"96 x 64 pixels, 3:2 ratio",No,,No,,No,Removable Li-Ion battery,
Sendo K1,SENDO,91718,8,"2005, Q1",,,,,No,,No,,1.2,Removable Li-Ion battery,
Sendo P600,SENDO,126921,8,"2004, Q3","108 x 45 x 20 mm, 76 cc (4.25 x 1.77 x 0.79 in)",85 g (3.00 oz),,"128 x 128 pixels, 1:1 ratio",No,3.7MB,VGA,No,No,Removable Li-Ion battery,
Sendo SV663,SENDO,141274,9,"2004, Q3","108 x 45 x 19.5 mm, 76 cc (4.25 x 1.77 x 0.77 in)",86 g (3.03 oz),,128 x 160 pixels,No,3.3MB,VGA,No,No,Removable Li-Ion 800 mAh battery,
Sendo M570,SENDO,195154,7,"2004, Q1","82 x 45 x 20 mm, 68 cc (3.23 x 1.77 x 0.79 in)",77 g (2.72 oz),,"128 x 128 pixels, 1:1 ratio",No,3.7MB,No,,No,Removable Li-Ion 600 mAh battery,
Sendo S600,SENDO,116725,7,"2004, Q1","108 x 45 x 20 mm, 76 cc (4.25 x 1.77 x 0.79 in)",83 g (2.93 oz),,"128 x 128 pixels, 1:1 ratio",No,3.7MB,VGA,No,No,Removable Li-Ion battery,
Sendo X,SENDO,325135,13,"2003, Q4","110 x 49 x 23 mm, 108 cc (4.33 x 1.93 x 0.91 in)",120 g (4.23 oz),"2.2 inches, 35 x 44 mm, 15.2 cm2 (~28.3% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),MMC/SD,32MB,VGA,No,1.1,Removable Li-Po 1050 mAh battery,
Sendo S360,SENDO,137789,10,"2004, Q4","108 x 45 x 19 mm, 77 cc (4.25 x 1.77 x 0.75 in)",83 g (2.93 oz),,"128 x 128 pixels,, 1:1 ratio",No,2MB,No,,No,Removable Li-Ion battery,
Sendo S330,SENDO,153854,11,"2003, Q4","108 x 47 x 21 mm, 79 cc (4.25 x 1.85 x 0.83 in)",81 g (2.86 oz),,"98 x 67 pixels, 5 lines, 3:2 ratio",No,,No,,No,Removable Li-Ion battery,
Sendo S300,SENDO,105330,10,"2003, Q1",107 x 47 x 21 mm (4.21 x 1.85 x 0.83 in),90 g (3.17 oz),,"96 x 64 pixels, 5 lines, 3:2 ratio",No,,No,,No,Removable Li-Ion 600 mAh battery,
Sendo M550,SENDO,219972,10,"2003, Q2","82 x 45 x 20 mm, 68 cc (3.23 x 1.77 x 0.79 in)",77 g (2.72 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion battery,
Sendo Z100,SENDO,183830,9,Never,"126 x 48 x 17 mm, 99 cc (4.96 x 1.89 x 0.67 in)",99 g (3.49 oz),"2.2 inches, 35 x 44 mm, 15.2 cm2 (~25.2% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),MMC,,No,,No,Removable Li-Ion battery,
Sendo J530,SENDO,82302,9,"2002, February",107 x 49 x 18 mm (4.21 x 1.93 x 0.71 in),75 g (2.65 oz),,"96 x 64 pixels, 6 lines, 3:2 ratio",No,,No,,No,Removable Li-Ion battery,
Sendo J520,SENDO,90004,9,"2001, Q4","113 x 50 x 25 mm, 79 cc (4.45 x 1.97 x 0.98 in)",75 g (2.65 oz),,"96 x 64 pixels, 6 lines, 3:2 ratio",No,,No,,No,Removable Li-Ion battery,
Sendo S230,SENDO,102481,12,"2002, February",115 x 50 x 24 mm (4.53 x 1.97 x 0.94 in),98 g (3.46 oz),,"96 x 64 pixels, 6 lines, 3:2 ratio",No,,No,,No,Removable NiMH battery,
Sendo P200,SENDO,89579,11,"2001, Q3","105 x 50 x 22 mm, 89 cc (4.13 x 1.97 x 0.87 in)",98 g (3.46 oz),,"96 x 64 pixels, 6 lines, 3:2 ratio",No,,No,,No,Removable Li-Ion battery,
Sendo S200,SENDO,117855,11,"2001, Q2","105 x 50 x 22 mm, 89 cc (4.13 x 1.97 x 0.87 in)",98 g (3.46 oz),,"96 x 64 pixels, 6 lines, 3:2 ratio",No,,No,,No,Removable Li-Ion battery,
Sendo D800,SENDO,100851,9,2000,"102 x 44 x 19 mm, 69 cc (4.02 x 1.73 x 0.75 in)",68 g (2.40 oz),,"96 x 64 pixels, 6 lines, 3:2 ratio",No,,No,,No,Removable Li-Ion battery,
