Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Sewon SRS-3300,SEWON,104202,6,"2005, Q1",72 x 39 x 26.5 mm (2.83 x 1.54 x 1.04 in),90 g (3.17 oz),,128 x 160 pixels,No,,VGA,No,No,Removable Li-Ion 720 mAh battery,
Sewon SRD-3000,SEWON,75130,5,"2004, Q2",91 x 48 x 18 mm (3.58 x 1.89 x 0.71 in),90 g (3.17 oz),,176 x 220 pixels,No,,VGA,No,No,Removable Li-Ion 1050 mAh battery,
Sewon SRD-200,SEWON,74244,6,"2004, Q2",87.5 x 47.5 x 21.7 mm (3.44 x 1.87 x 0.85 in),95 g (3.35 oz),,"128 x 128 pixels, 1:1 ratio",No,,VGA,No,No,Removable Li-Ion 900 mAh battery,
Sewon SGD-1050,SEWON,70900,6,"2004, Q2",82 x 44 x 21 mm (3.23 x 1.73 x 0.83 in),90 g (3.17 oz),,"128 x 128 pixels, 1:1 ratio",No,,VGA,No,No,Removable Li-Ion 900 mAh battery,
Sewon SGD-1030,SEWON,67362,6,"2004, Q2",82 x 44 x 22 mm (3.23 x 1.73 x 0.87 in),90 g (3.17 oz),,"128 x 128 pixels, 1:1 ratio",No,,VGA,No,No,Removable Li-Ion 900 mAh battery,
Sewon SGD-1020,SEWON,65116,5,"2004, Q2",82 x 42.4 x 21 mm (3.23 x 1.67 x 0.83 in),90 g (3.17 oz),,"128 x 128 pixels, 1:1 ratio",No,,VGA,No,No,Removable Li-Ion 900 mAh battery,
Sewon SGD-1010,SEWON,65239,5,"2004, Q1",82 x 44 x 21 mm (3.23 x 1.73 x 0.83 in),90 g (3.17 oz),,"128 x 128 pixels, 1:1 ratio",No,,VGA,No,No,Removable Li-Ion 600 mAh battery,
Sewon SGD-1000,SEWON,67412,6,"2004, Q1",82 x 42 x 21 mm (3.23 x 1.65 x 0.83 in),90 g (3.17 oz),,"128 x 128 pixels, 1:1 ratio",No,,VGA,No,No,Removable Li-Ion 900 mAh battery,
Sewon SGD-106,SEWON,66763,3,"2004, Q1",72 x 40 x 23 mm (2.83 x 1.57 x 0.91 in),80 g (2.82 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion 550 mAh battery,
Sewon SGD-105,SEWON,62673,4,"2004, Q1",72 x 40 x 23 mm (2.83 x 1.57 x 0.91 in),80 g (2.82 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion 550 mAh battery,
Sewon SGD-102,SEWON,60541,3,"2004, Q1",72 x 40 x 23 mm (2.83 x 1.57 x 0.91 in),80 g (2.82 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion 550 mAh battery,
Sewon SGD-101,SEWON,62065,6,"2004, Q1",72 x 40 x 23 mm (2.83 x 1.57 x 0.91 in),80 g (2.82 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion 550 mAh battery,
Sewon SG-2890CD,SEWON,63573,6,"2004, Q1",72 x 40 x 23 mm (2.83 x 1.57 x 0.91 in),80 g (2.82 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion battery,
Sewon SG-2320CD,SEWON,88451,6,"2004, Q1",68 x 39 x 22 mm (2.68 x 1.54 x 0.87 in),72 g (2.54 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion 550 mAh battery,
Sewon SG-2300CD,SEWON,61666,4,"2004, Q1",68 x 39 x 22 mm (2.68 x 1.54 x 0.87 in),72 g (2.54 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion 550 mAh battery,
Sewon SG-2200CD,SEWON,65302,6,"2004, Q1",68 x 39 x 22 mm (2.68 x 1.54 x 0.87 in),72 g (2.54 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion 550 mAh battery,
Sewon SG-2880CS,SEWON,71274,5,"2004, Q1",68 x 39 x 22 mm (2.68 x 1.54 x 0.87 in),72 g (2.54 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion 700 mAh battery,
Sewon SG-2100CS,SEWON,65062,5,"2004, Q1",68 x 39 x 22 mm (2.68 x 1.54 x 0.87 in),72 g (2.54 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion 700 mAh battery,
Sewon SG-2000CS,SEWON,58107,7,"2004, Q1",68 x 39 x 22 mm (2.68 x 1.54 x 0.87 in),72 g (2.54 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion 700 mAh battery,
Sewon SG-P100,SEWON,58670,5,"2004, Q1",88 x 44 x 21 mm (3.46 x 1.73 x 0.83 in),82 g (2.89 oz),,101 x 80 pixels,No,,No,,No,Removable Li-Ion battery,
Sewon SG-5000,SEWON,48482,5,2002,82 x 45 x 22 mm (3.23 x 1.77 x 0.87 in),90 g (3.17 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion 900 mAh battery,
Sewon SG-4500,SEWON,46050,3,2002,80 x 46 x 24 mm (3.15 x 1.81 x 0.94 in),85 g (3.00 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion 900 mAh battery,
Sewon SG-2200,SEWON,46629,6,2002,68 x 39 x 22 mm (2.68 x 1.54 x 0.87 in),72 g (2.54 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion 700 mAh battery,
Sewon SG-2000,SEWON,50369,6,2002,68 x 39 x 22 mm (2.68 x 1.54 x 0.87 in),72 g (2.54 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion 700 mAh battery,
Sewon SG-1000,SEWON,46652,6,,88 x 44 x 25 mm (3.46 x 1.73 x 0.98 in),89 g (3.14 oz),,"112 x 48 pixels, 4 lines, 21:9 ratio",No,,No,,No,Removable Li-Ion 730 mAh battery,
