Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Sharp Aquos V6 Plus,SHARP,44330,2,"2022, February 16",165.2 x 75.5 x 8.9 mm (6.50 x 2.97 x 0.35 in),190 g (6.70 oz),"6.52 inches, 102.6 cm2 (~82.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC,64GB 4GB RAM,"50 MP, (wide)
2 MP, (macro)
2 MP, (depth)",8 MP,"5.0, A2DP, LE, aptX HD, aptX Adaptive","Li-Ion 5000 mAh, non-removable",About 150 EUR
Sharp Aquos V6,SHARP,18633,1,"2022, February 16",165.2 x 75.5 x 8.9 mm (6.50 x 2.97 x 0.35 in),190 g (6.70 oz),"6.52 inches, 102.6 cm2 (~82.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC,32GB 3GB RAM,"13 MP, (wide)
2 MP, (macro)
2 MP, (depth)",5 MP,"5.0, A2DP, LE, aptX HD, aptX Adaptive","Li-Ion 5000 mAh, non-removable",About 130 EUR
Sharp Aquos wish,SHARP,21592,3,"2022, January 19",147 x 71 x 8.9 mm (5.79 x 2.80 x 0.35 in),162 g (5.71 oz),"5.7 inches, 81.1 cm2 (~77.7% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~295 ppi density)",microSDXC,64GB 4GB RAM,"13 MP, (wide), AF",8 MP,"5.1, A2DP, LE","Li-Ion 3730 mAh, non-removable",About 230 EUR
Sharp Aquos zero6,SHARP,24975,10,"2021, October 14",158 x 73 x 7.9 mm (6.22 x 2.87 x 0.31 in),146 g (5.15 oz),"6.4 inches, 100.5 cm2 (~87.2% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",microSDXC,128GB 8GB RAM,"48 MP, f/1.8, (wide), AF
8 MP, f/2.4, (telephoto), AF, 2x optical zoom
8 MP, f/2.4, 120˚ (ultrawide)
TOF 3D (depth)",12.6 MP,"5.1, A2DP, LE","Li-Ion 4010 mAh, non-removable",About 400 EUR
Sharp Aquos sense5G,SHARP,26160,3,"2020, September 25",148 x 71 x 8.9 mm (5.83 x 2.80 x 0.35 in),178 g (6.28 oz),"5.8 inches, 84.0 cm2 (~79.9% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~435 ppi density)",microSDXC,128GB 8GB RAM,"12 MP, f/2.0, (wide), AF
8 MP, f/2.4, (telephoto), AF
12 MP, f/2.4, 121˚ (ultrawide)",8 MP,"5.1, A2DP, LE","Li-Ion 4570 mAh, non-removable",About 250 EUR
Sharp Aquos sense4 plus,SHARP,17951,3,"2020, September 11",166 x 78 x 8.8 mm (6.54 x 3.07 x 0.35 in),198 g (6.98 oz),"6.7 inches, 108.4 cm2 (~83.7% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",microSDXC,128GB 8GB RAM,"48 MP, f/1.8, (wide), AF
5 MP, f/2.2, 115˚ (ultrawide)
2 MP, f/2.4, 40mm (telephoto macro)
2 MP, f/2.4, (depth)",8 MP,"5.1, A2DP, LE","Li-Po 4120 mAh, non-removable",About 600 EUR
Sharp Aquos Zero 2,SHARP,706498,87,"2020, May 22",158 x 74 x 8.8 mm (6.22 x 2.91 x 0.35 in),141 g (4.97 oz),"6.4 inches, 100.5 cm2 (~86.0% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",No,256GB 8GB RAM,"12.2 MP, f/1.7, (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS
20 MP, f/2.4, 125˚ (ultrawide), AF","8 MP, f/2.2, 23mm (wide)","5.0, A2DP, LE, aptX HD, aptX Adaptive","Li-Ion 3130 mAh, non-removable",About 670 EUR
Sharp Aquos R5G,SHARP,48044,10,"2020, February",162 x 75 x 8.9 mm (6.38 x 2.95 x 0.35 in),189 g (6.67 oz),"6.4 inches, 99.5 cm2 (~81.9% screen-to-body ratio)",1440 x 3168 pixels (~544 ppi density),No,256GB 12GB RAM,"12 MP, f/1.7, 26mm (wide), 1.4µm, Dual Pixel PDAF, OIS
12 MP, f/2.7, 52mm (telephoto), 1.0µm, PDAF, 2x optical zoom, OIS
48 MP, f/2.9, 19mm (ultrawide), 0.8µm
TOF 3D (depth)","16 MP, f/2.0, 26mm (wide), 0.7µm","5.1, A2DP, LE, aptX HD, aptX Adaptive","Li-Ion 3730 mAh, non-removable",About 700 EUR
Sharp Aquos V,SHARP,391335,23,"2019, November",157 x 76 x 9 mm (6.18 x 2.99 x 0.35 in),173 g (6.10 oz),"5.9 inches, 89.8 cm2 (~75.3% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~409 ppi density)",microSDXC (uses shared SIM slot),64GB 4GB RAM,"13 MP, f/2.0, PDAF, OIS
13 MP B/W","8 MP, f/2.0","5.0, A2DP, LE","Li-Ion 3090 mAh, non-removable",About 210 EUR
Sharp Aquos R3,SHARP,37445,8,"2019, August",156 x 74 x 8.9 mm (6.14 x 2.91 x 0.35 in),185 g (6.53 oz),"6.2 inches, 94.4 cm2 (~81.7% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~554 ppi density)",microSDXC (uses shared SIM slot),128GB 6GB RAM,"12.2 MP, f/1.7, (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS
20 MP, f/2.4, 125˚ (ultrawide), AF, OIS","16 MP, f/2.0","5.0, A2DP, LE","Li-Po 3200 mAh, non-removable",About 750 EUR
