Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Siemens AL21,SIEMENS,545390,11,"2005, November",86.8 x 45.8 x 19.2 mm (3.42 x 1.80 x 0.76 in),78 g (2.75 oz),,"130 x 130 pixels, 1:1 ratio",No,1.5MB,No,,No,Removable Li-Ion 600 mAh battery,
Siemens A31,SIEMENS,306258,12,"2005, November","102 x 46 x 17.6 mm, 75 cc (4.02 x 1.81 x 0.69 in)",85 g (3.00 oz),,"128 x 128 pixels, 1:1 ratio",No,1.5MB,No,,No,Removable Li-Ion 820 mAh battery,
Siemens AF51,SIEMENS,333924,9,"2005, November",79 x 41 x 19.6 mm (3.11 x 1.61 x 0.77 in),80 g (2.82 oz),,"130 x 130 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion 620 mAh battery,
Siemens ME75,SIEMENS,419199,15,"2005, October",105 x 46 x 18 mm (4.13 x 1.81 x 0.71 in),95 g (3.35 oz),,"132 x 176 pixels, 4:3 ratio",No,10MB,VGA,No,No,Removable Li-Ion 1000 mAh battery,
Siemens AP75,SIEMENS,226574,8,"2005, October",102 x 44 x 18 mm (4.02 x 1.73 x 0.71 in),86 g (3.03 oz),,"128 x 128 pixels, 1:1 ratio",No,,CIF,No,Yes,Removable Li-Ion 860 mAh battery,
Siemens AX72,SIEMENS,301182,14,"2005, October",105.6 x 46.8 x 17.5 mm (4.16 x 1.84 x 0.69 in),79 g (2.79 oz),,"128 x 128 pixels, 1:1 ratio",No,,No,,No,Removable Li-Ion 600 mAh battery,
Siemens SG75,SIEMENS,313464,8,"2005, Sep","98 x 49.5 x 23 mm, 104 cc (3.86 x 1.95 x 0.91 in)",123 g (4.34 oz),"2.0 inches, 30 x 40 mm, 12.6 cm2 (~26.0% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),RS-MMC,70MB,1.3 MP,CIF videocall camera,Yes,Removable Li-Po 920 mAh battery,
Siemens SFG75,SIEMENS,182310,8,"2005, Sep","90 x 45 x 24 mm, 97 cc (3.54 x 1.77 x 0.94 in)",110 g (3.88 oz),"2.0 inches, 30 x 40 mm, 12.6 cm2 (~31.1% screen-to-body ratio)",176 x 220 pixels (~141 ppi density),miniSD,32MB,1.3 MP,CIF videocall camera,Yes,Removable Li-Ion 840 mAh battery,
Siemens CC75,SIEMENS,192828,8,"2005, August","111 x 44 x 12.6 mm, 65 cc (4.37 x 1.73 x 0.50 in)",80 g (2.82 oz),,128 x 160 pixels,No,3MB,No,,No,Removable Li-Ion 800 mAh battery (EBA-720),
Siemens CF110,SIEMENS,341834,9,"2005, August","83 x 45 x 18 mm, 68 cc (3.27 x 1.77 x 0.71 in)",76.5 g (2.68 oz),,"130 x 130 pixels, 1:1 ratio",No,1.5MB,No,,No,Removable Li-Ion 600 mAh battery (EBA-160),
Siemens C72,SIEMENS,325357,14,"2005, August",105 x 47 x 18 mm (4.13 x 1.85 x 0.71 in),86 g (3.03 oz),,"128 x 128 pixels, 1:1 ratio",No,,VGA,No,No,Removable Li-Ion 750 mAh battery,
Siemens S75,SIEMENS,391573,16,"2005, Q2","103 x 47 x 18.5 mm, 84 cc (4.06 x 1.85 x 0.73 in)",99 g (3.49 oz),"1.9 inches, 28 x 38 mm, 11.2 cm2 (~23.1% screen-to-body ratio)","132 x 176 pixels, 4:3 ratio (~116 ppi density)","RS-MMC, up to 1 GB, 128 MB included",20MB,1.3 MP,No,1.2,Removable Li-Ion 820 mAh battery,
Siemens SL75,SIEMENS,462152,12,"2005, Q2","92 x 48 x 23 mm, 78 cc (3.62 x 1.89 x 0.91 in)",99 g (3.49 oz),,"132 x 176 pixels, 4:3 ratio",No,52MB,1.3 MP,No,1.2,Removable Li-Ion 700 mAh battery,
Siemens C75,SIEMENS,558431,17,"2005, May",103 x 44 x 17 mm (4.06 x 1.73 x 0.67 in),85 g (3.00 oz),,"132 x 176 pixels, 9 lines, 4:3 ratio",No,10MB,VGA,No,No,Removable Li-Ion 750 mAh battery,
Siemens SP65,SIEMENS,367734,14,"2005, March","109 x 48 x 18 mm, 85 cc (4.29 x 1.89 x 0.71 in)",98 g (3.46 oz),"2.1 inches, 32 x 42 mm, 13.7 cm2 (~26.1% screen-to-body ratio)","132 x 176 pixels, 9 lines, 4:3 ratio (~105 ppi density)",RS-MMC,,No,,1.2,Removable Li-Ion 750 mAh battery,
Siemens SXG75,SIEMENS,580269,16,"2005, Q1","111.5 x 53 x 20 mm, 108 cc (4.39 x 2.09 x 0.79 in)",134 g (4.73 oz),"2.2 inches, 33 x 45 mm, 15.0 cm2 (~25.4% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",RS-MMC,128MB,2 MP,CIF videocall camera,1.1,Removable Li-Ion 1000 mAh battery,
Siemens M75,SIEMENS,361799,12,"2005, Q1","110.5 x 51.5 x 20.8 mm, 104 cc (4.35 x 2.03 x 0.82 in)",110 g (3.88 oz),"1.9 inches, 28 x 38 mm, 11.2 cm2 (~19.6% screen-to-body ratio)","132 x 176 pixels, 4:3 ratio (~116 ppi density)","RS-MMC, 32 MB included",14MB,1.3 MP,No,1.2,Removable Li-Ion 750 mAh battery,
Siemens CX75,SIEMENS,438898,18,"2005, Q1","112 x 48 x 19 mm, 90 cc (4.41 x 1.89 x 0.75 in)",98 g (3.46 oz),"1.9 inches, 28 x 38 mm, 11.2 cm2 (~20.8% screen-to-body ratio)","132 x 176 pixels, 4:3 ratio (~116 ppi density)",RS-MMC,14MB,1.3 MP,No,1.2,Removable Li-Ion 750 mAh battery,
Siemens CF75,SIEMENS,352057,10,"2005, Q1","94 x 47 x 22 mm, 80 cc (3.70 x 1.85 x 0.87 in)",91 g (3.21 oz),,128 x 160 pixels,No,10MB,VGA,No,No,Removable Li-Ion 600 mAh battery,
Siemens CL75,SIEMENS,397640,9,"2005, Q1","87 x 44 x 23 mm, 74 cc (3.43 x 1.73 x 0.91 in)",90 g (3.17 oz),,128 x 160 pixels,No,11MB,VGA,No,No,Removable Li-Ion 780 mAh battery,
Siemens AX75,SIEMENS,195483,11,"2005, Q1","106 x 47 x 18 mm, 75 cc (4.17 x 1.85 x 0.71 in)",76 g (2.68 oz),,"128 x 128 pixels, 7 lines, 1:1 ratio",No,1.5MB,No,,No,Removable Li-Ion 600 mAh battery,
Siemens A75,SIEMENS,251619,14,"2005, Q1",101 x 44 x 20 mm (3.98 x 1.73 x 0.79 in),78 g (2.75 oz),,101 x 80 pixels,No,,No,,No,Removable Li-Ion 650 mAh battery,
Siemens A70,SIEMENS,297906,15,"2005, Q1",101 x 45 x 20 mm (3.98 x 1.77 x 0.79 in),78 g (2.75 oz),,101 x 64 pixels,No,,No,,No,Removable Li-Ion 650 mAh battery,
Siemens SF65,SIEMENS,497615,11,"2004, Q3","91 x 44 x 23 mm, 86 cc (3.58 x 1.73 x 0.91 in)",97 g (3.42 oz),,128 x 160 pixels,No,20MB,1.3 MP,No,No,Removable Li-Ion 660 mAh battery,
