Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Telit t800,TELIT,99540,7,"2006, Q1",95 x 49 x 16.7 mm (3.74 x 1.93 x 0.66 in),91 g (3.21 oz),,176 x 220 pixels,microSD,64MB,2 MP,No,Yes,Removable Li-Ion 860 mAh battery,
Telit t250,TELIT,69142,6,"2006, Q1",96.5 x 49.5 x 15.4 mm (3.80 x 1.95 x 0.61 in),76 g (2.68 oz),,128 x 160 pixels,No,7MB,VGA,No,No,Removable Li-Ion 800 mAh battery,
Telit t650,TELIT,72251,6,"2006, Q1",90 x 44 x 17 mm (3.54 x 1.73 x 0.67 in),90 g (3.17 oz),,128 x 160 pixels,microSD,64MB,"VGA, rotating lens",No,No,Removable Li-Ion 800 mAh battery,
Telit t200,TELIT,86939,7,"2006, Q1",96.5 x 49.5 x 15.4 mm (3.80 x 1.95 x 0.61 in),76 g (2.68 oz),,128 x 160 pixels,No,7MB,VGA,No,No,Removable Li-Ion 730 mAh battery,
Telit GU1100,TELIT,70680,8,"2005, Q3",112 x 46.5 x 19.5 mm (4.41 x 1.83 x 0.77 in),103 g (3.63 oz),,176 x 220 pixels,microSD (dedicated slot),,VGA,Yes,Yes,Removable Li-Ion battery,
Telit SP600,TELIT,71788,10,"2005, Q2",109 x 47.7 x 17.7 mm (4.29 x 1.88 x 0.70 in),99 g (3.49 oz),,176 x 220 pixels,miniSD,32MB,1.3 MP,No,Yes,Removable Li-Ion 1000 mAh battery,
Telit t550,TELIT,64714,6,"2005, Q1",105 x 49.6 x 15.8 mm (4.13 x 1.95 x 0.62 in),98 g (3.46 oz),,128 x 160 pixels,No,,1.3 MP,No,Yes,Removable Li-Ion 860 mAh battery,
Telit t420,TELIT,93226,6,"2005, Q1",62 x 64 x 23 mm (2.44 x 2.52 x 0.91 in),82 g (2.89 oz),,128 x 160 pixels,No,,VGA,No,No,Removable Li-Ion 650 mAh battery,
Telit t180,TELIT,69936,7,"2006, Q2",100 x 45 x 18 mm (3.94 x 1.77 x 0.71 in),76 g (2.68 oz),,"128 x 128 pixels, 1:1 ratio",No,2MB,VGA,No,No,Removable Li-Ion 650 mAh battery,
Telit t410,TELIT,87894,11,"2005, Q1",52 x 57 x 23 mm (2.05 x 2.24 x 0.91 in),76 g (2.68 oz),,128 x 160 pixels,No,,VGA,No,No,Removable Li-Ion 650 mAh battery,
Telit t130,TELIT,64689,13,"2006, Q2",101 x 44 x 16.5 mm (3.98 x 1.73 x 0.65 in),75 g (2.65 oz),"1.37 inches, 5.6 cm2 (~12.6% screen-to-body ratio)","96 x 64 pixels, 3:2 ratio (~84 ppi density)",No,4MB,No,,No,Removable Li-Ion 800 mAh battery,
