Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Toshiba Excite 7c AT7-B8,TOSHIBA,188006,1,"2014, February. Released 2014, February",199 x 119.8 x 10.9 mm (7.83 x 4.72 x 0.43 in),354.4 g (12.49 oz),"7.0 inches, 137.9 cm2 (~57.8% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",microSD (dedicated slot),8GB 1GB RAM,VGA,No,"4.0, A2DP","Li-Po 3500 mAh, non-removable (13 Wh)",About 70 EUR
Toshiba Windows Phone IS12T,TOSHIBA,696752,30,"2011, July. Released 2011, Q3",118 x 59 x 10.6 mm (4.65 x 2.32 x 0.42 in),113 g (3.99 oz),"3.7 inches, 39.0 cm2 (~56.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~252 ppi density)",No,32GB (28GB user available),"13.2 MP, AF",No,"2.1, A2DP, EDR",Removable Li-Ion 1460 mAh battery,About 590 EUR
Toshiba K01,TOSHIBA,447271,16,"2010, February. Released 2010, April",122 x 65 x 12.9 mm (4.80 x 2.56 x 0.51 in),158 g (5.57 oz),"4.1 inches, 47.8 cm2 (~60.3% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~228 ppi density)",microSDHC (dedicated slot),"256MB RAM, 512MB ROM","3.15 MP, AF",Yes,"2.0, A2DP, EDR",Removable Li-Ion 1000 mAh battery,
Toshiba TG02,TOSHIBA,523891,12,"2010, February",126 x 66 x 9.9 mm (4.96 x 2.60 x 0.39 in),119 g (4.20 oz),"4.1 inches, 47.8 cm2 (~57.5% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~228 ppi density)",microSDHC (dedicated slot),"256MB RAM, 512MB ROM","3.15 MP, AF",Yes,"2.0, A2DP, EDR",Removable Li-Ion 1000 mAh battery,
Toshiba TG01,TOSHIBA,1215950,21,"2009, January. Released 2009, June",130 x 70 x 9.9 mm (5.12 x 2.76 x 0.39 in),129 g (4.55 oz),"4.1 inches, 47.8 cm2 (~52.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~228 ppi density)",microSDHC (dedicated slot),"256MB RAM, 512MB ROM","3.15 MP, AF",No,"2.0, A2DP",Removable Li-Ion 1000 mAh battery,About 500 EUR
Toshiba G810,TOSHIBA,454880,14,"2008, February. Released 2008, September",110 x 58 x 14 mm (4.33 x 2.28 x 0.55 in),120 g (4.23 oz),"2.83 inches, 24.8 cm2 (~38.9% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~141 ppi density)",microSDHC (dedicated slot),"128MB RAM, 256MB ROM","3.15 MP, AF",Yes,2.0,Removable Li-Ion 1530 mAh battery,About 220 EUR
Toshiba G910 / G920,TOSHIBA,532952,19,"2008, January. Released 2008, June","117 x 64 x 19.8 mm, 145 cc (4.61 x 2.52 x 0.78 in)",183 g (6.46 oz),"3.0 inches, 25.6 cm2 (~34.2% screen-to-body ratio)","800 x 480 pixels (Wide-VGA), 5:3 ratio (~311 ppi density)",microSD (dedicated slot),"128MB RAM, 256MB ROM","2 MP, AF",VGA videocall camera,"2.0, A2DP",Removable Li-Ion 1320 mAh battery,About 190 EUR
Toshiba G450,TOSHIBA,772791,25,"2008, January",98 x 36 x 16 mm (3.86 x 1.42 x 0.63 in),57 g (2.01 oz),,96 x 39 pixels,No,160MB,No,,No,Removable Li-Ion 600 mAh battery,About 130 EUR
Toshiba G710,TOSHIBA,324195,9,"2008, January. Released 2008, September",115 x 62 x 13 mm (4.53 x 2.44 x 0.51 in),130 g (4.59 oz),"2.46 inches, 18.7 cm2 (~26.3% screen-to-body ratio)","320 x 240 pixels, 4:3 ratio (~163 ppi density)",microSD (dedicated slot),"64MB RAM, 128MB ROM",2 MP,No,"1.2, A2DP",Removable Li-Ion 1050 mAh battery,About 220 EUR
Toshiba G900,TOSHIBA,686169,15,"2007, February",119 x 61 x 21.5 mm (4.69 x 2.40 x 0.85 in),198 g (6.98 oz),"3.0 inches, 25.6 cm2 (~35.3% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~311 ppi density)",miniSD,40MB 128MB RAM,2 MP,VGA videocall camera,"2.0, A2DP",Removable Li-Ion 1320 mAh battery,About 410 EUR
Toshiba G500,TOSHIBA,361402,15,"2007, February",96 x 49 x 22.9 mm (3.78 x 1.93 x 0.90 in),135 g (4.76 oz),"2.3 inches, 16.4 cm2 (~34.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~174 ppi density)",miniSD,64MB,2 MP,VGA videocall camera,"2.0, A2DP",Removable Li-Ion 1200 mAh battery,About 260 EUR
Toshiba TS605,TOSHIBA,290913,7,"2006, December",113 x 47 x 10.3 mm (4.45 x 1.85 x 0.41 in),79 g (2.79 oz),"1.93 inches, 11.7 cm2 (~22.1% screen-to-body ratio)",176 x 220 pixels (~146 ppi density),microSD (dedicated slot),5.5MB,1.3 MP,No,1.2,Removable Li-Ion battery,
Toshiba TX80,TOSHIBA,164285,9,"2006, December",97 x 49 x 20 mm (3.82 x 1.93 x 0.79 in),111 g (3.92 oz),"2.4 inches, 17.8 cm2 (~37.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",microSD (dedicated slot),40MB,3.15 MP,VGA videocall camera,No,Removable Li-Ion battery,
Toshiba TS32,TOSHIBA,207775,8,"2006, December",113 x 47 x 10.3 mm (4.45 x 1.85 x 0.41 in),79 g (2.79 oz),"1.93 inches, 11.7 cm2 (~22.1% screen-to-body ratio)",176 x 220 pixels (~146 ppi density),microSD (dedicated slot),5.5MB,1.3 MP,No,1.2,Removable Li-Ion battery,
Toshiba TS705,TOSHIBA,223514,11,"2006, September",105 x 46 x 15 mm (4.13 x 1.81 x 0.59 in),95 g (3.35 oz),"1.8 inches, 10.2 cm2 (~21.1% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),microSD (dedicated slot),10MB,1.3 MP,No,Yes,Removable Li-Ion battery,
Toshiba TS608,TOSHIBA,169945,8,"2006, June",110 x 46.9 x 9.9 mm (4.33 x 1.85 x 0.39 in),81 g (2.89 oz),"1.93 inches, 11.7 cm2 (~22.7% screen-to-body ratio)",176 x 220 pixels (~146 ppi density),microSD (dedicated slot),8MB,1.3 MP,No,1.2,Removable Li-Ion battery,
Toshiba TX62,TOSHIBA,187836,7,"2006, June",98 x 47 x 23 mm (3.86 x 1.85 x 0.91 in),121 g (4.27 oz),"2.0 inches, 12.4 cm2 (~26.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",miniSD,40MB,1.3 MP,No,Yes,Removable Li-Ion battery,
Toshiba 904T,TOSHIBA,216219,11,"2006, March",112 x 50 x 26 mm (4.41 x 1.97 x 1.02 in),146 g (5.15 oz),"2.4 inches, 17.8 cm2 (~31.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",miniSD,,3.15 MP,VGA videocall camera,Yes,Removable Li-Ion 720 mAh battery,
Toshiba 903T,TOSHIBA,192275,12,"2005, September",111 x 50 x 25 mm (4.37 x 1.97 x 0.98 in),149 g (5.26 oz),"2.4 inches, 17.8 cm2 (~32.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",SD,,"2 MP, AF",VGA videocall camera,Yes,Removable Li-Ion 720 mAh battery,
Toshiba 705T,TOSHIBA,179708,8,"2006, May",98 x 47 x 23 mm (3.86 x 1.85 x 0.91 in),121 g (4.27 oz),"2.0 inches, 30 x 40 mm, 12.4 cm2 (~26.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",miniSD,,1.3 MP,No,Yes,Removable Li-Ion battery,
Toshiba TS921,TOSHIBA,182455,9,"2005, Q3",111 x 50 x 25 mm (4.37 x 1.97 x 0.98 in),148 g (5.22 oz),"2.4 inches, 48.8 x 36.6 mm, 17.8 cm2 (~32.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",SD,,2 MP,VGA videocall camera,Yes,Removable Li-Ion 1000 mAh battery,
Toshiba TS808,TOSHIBA,153362,8,"2005, Q3",98 x 47 x 23 mm (3.86 x 1.85 x 0.91 in),125 g (4.41 oz),"2.4 inches, 48.8 x 36.6 mm, 17.8 cm2 (~38.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",miniSD,10MB,1.3 MP,No,Yes,Removable Li-Ion battery,
Toshiba TS803,TOSHIBA,202173,9,"2005, Q3",100 x 47 x 26 mm (3.94 x 1.85 x 1.02 in),134 g (4.73 oz),"2.4 inches, 48.8 x 36.6 mm, 17.8 cm2 (~38.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",miniSD,20MB,"2.26 MP, AF",No,Yes,Removable Li-Ion 1000 mAh battery,
Toshiba TS10,TOSHIBA,222384,10,"2005, Q3","97 x 46 x 17 mm, 75 cc (3.82 x 1.81 x 0.67 in)",95 g (3.35 oz),,128 x 160 pixels,No,,VGA,No,No,Removable Li-Ion 700 mAh battery,
