Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Ulefone Power Armor 18T,ULEFONE,42683,29,"2022, October 31",175.2 x 83.4 x 18.8 mm (6.90 x 3.28 x 0.74 in),409 g (14.43 oz),"6.58 inches, 104.3 cm2 (~71.4% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",microSDXC (uses shared SIM slot),256GB 12GB RAM,"108 MP, f/1.9, (wide), 1/1.52”, 0.7µm, PDAF
5 MP, f/3.0, (macro), 1/5”, 1.12µm
FLIR thermal camera (Lepton module)
5 MP (for thermal module)","32 MP, f/2.0, (wide), 1.2µm","5.0, A2DP, LE","Li-Po 9600 mAh, non-removable",About 640 EUR
Ulefone Armor 17 Pro,ULEFONE,21711,12,"2022, October 31",172.7 x 80.4 x 12.5 mm (6.80 x 3.17 x 0.49 in),290 g (10.23 oz),"6.58 inches, 104.3 cm2 (~75.1% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)",microSDXC (dedicated slot),256GB 8GB RAM,"108 MP, f/1.9, (wide), 1/1.52”, 0.7µm, PDAF
8 MP, f/2.2, 119˚, (ultrawide), 1/4”, 1.12µm
8 MP, (night vision), 2 infrared night vision lights","16 MP, f/2.2, (wide), 1.0µm","5.2, A2DP, LE","Li-Po 5380 mAh, non-removable",About 260 EUR
Ulefone Power Armor 16 Pro,ULEFONE,43997,13,"2022, September 16",173.4 x 83.4 x 18.3 mm (6.83 x 3.28 x 0.72 in),405 g (14.29 oz),"5.93 inches, 90.7 cm2 (~62.8% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~271 ppi density)",microSDXC (dedicated slot),64GB 4GB RAM,"16 MP, f/1.8, (wide), 1.12µm, PDAF
2 MP, f/2.4, (macro)","8 MP, f/2.0, (wide), 1.12µm","5.0, A2DP, LE","Li-Po 9600 mAh, non-removable",About 220 EUR
Ulefone Power Armor X11 Pro,ULEFONE,14387,4,"2022, September 16",158.2 x 76.7 x 19.3 mm (6.23 x 3.02 x 0.76 in),330 g (11.64 oz),"5.45 inches, 76.7 cm2 (~63.2% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",microSDXC (dedicated slot),64GB 4GB RAM,"16 MP, f/1.8, (wide), 1.12µm, PDAF
2 MP, f/2.4, (depth)","5 MP, f/2.2","5.0, A2DP, LE","Li-Po 8150 mAh, non-removable",About 170 EUR
Ulefone Armor 15,ULEFONE,41415,15,"2022, July 27",170.2 x 79.6 x 18.2 mm (6.70 x 3.13 x 0.72 in),346 g (12.20 oz),"5.45 inches, 76.7 cm2 (~56.6% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",microSDXC (dedicated),128GB 6GB RAM,"12 MP, f/1.8, (wide), 1.4μm
13 MP, f/2.4, 106˚ (ultrawide)","16 MP, f/2.4, (wide), 1.0μm","5.0, A2DP","Li-Po 6600 mAh, non-removable",About 300 EUR
Ulefone Armor X6 Pro,ULEFONE,21889,3,"2022, July 16",150 x 78.9 x 14.4 mm (5.91 x 3.11 x 0.57 in),227 g (8.01 oz),"5.0 inches, 68.9 cm2 (~58.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDXC (uses shared SIM slot),32GB 4GB RAM,"13 MP, f/2.2, (wide), AF","5 MP, f/2.2","5.0, A2DP, LE","Li-Po 4000 mAh, non-removable",
Ulefone Note 12,ULEFONE,18467,2,"2022, July",173.6 x 79.1 x 10.2 mm (6.83 x 3.11 x 0.40 in),237 g (8.36 oz),"6.82 inches, 110.5 cm2 (~80.4% screen-to-body ratio)",720 x 1640 pixels (~263 ppi density),microSDXC (dedicated slot),128GB 4GB RAM,"13 MP, (wide), AF
2 MP, (macro)
2 MP, (depth)",8 MP,"4.2, A2DP","Li-Po 7700 mAh, non-removable",
Ulefone Note 6T,ULEFONE,19408,1,"2022, May 13",155.4 x 73.4 x 8.5 mm (6.12 x 2.89 x 0.33 in),163 g (5.75 oz),"6.1 inches, 91.3 cm2 (~80.1% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",microSDXC (dedicated slot),64GB 3GB RAM,"13 MP, (wide), AF
2 MP, (depth)",5 MP,"5.0, A2DP, LE","Li-Po 3300 mAh, non-removable",
Ulefone Power Armor 14 Pro,ULEFONE,103456,21,"2022, March 09",175.6 x 82.5 x 17.2 mm (6.91 x 3.25 x 0.68 in),358.2 g (12.63 oz),"6.52 inches, 102.6 cm2 (~70.8% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",microSDXC (uses shared SIM slot),128GB 6GB RAM,"20 MP, f/1.8, 26mm (wide), 1/2.78"", 1.0µm, PDAF
2 MP, f/2.8, (macro)
2 MP, f/2.4, (depth)","16 MP, f/2.2","5.0, A2DP, LE","Li-Po 10000 mAh, non-removable",$ 188.00 / € 259.99 / £ 219.99 / C$ 329.99
Ulefone Armor X10 Pro,ULEFONE,44080,5,"2022, March 10",158.2 x 76.7 x 14.6 mm (6.23 x 3.02 x 0.57 in),256 g (9.03 oz),"5.45 inches, 76.7 cm2 (~63.2% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)",microSDXC (dedicated slot),64GB 4GB RAM,"20 MP, f/1.8, 26mm (wide), 1/2.78"", 1.0µm, PDAF
2 MP, (depth)","5 MP, f/2.2","5.0, A2DP, LE","Li-Po 5180 mAh, non-removable",About 170 EUR
