Name,Brand,Hits,Fans,year,dimensions,weight,displaysize,displayresolution,memoryslot,internalmemory,cam1modules,cam2modules,bluetooth,batdescription1,price
Unnecto Bolt,UNNECTO,51851,0,"2016, June. Released 2016, August",145.2 x 73.5 x 9.2 mm (5.72 x 2.89 x 0.36 in),170 g (6.00 oz),"5.0 inches, 68.9 cm2 (~64.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, PDAF","2 MP, AF","4.1, LE","Li-Ion 2000 mAh, removable",
Unnecto Neo V,UNNECTO,43544,1,"2016, May. Released 2016, July",143.5 x 70.5 x 9.2 mm (5.65 x 2.78 x 0.36 in),177 g (6.24 oz),"5.0 inches, 68.9 cm2 (~68.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, PDAF","1.3 MP, AF","4.0, LE","Li-Ion 2000 mAh, removable",
Unnecto Quattro S,UNNECTO,51739,0,"2016, May. Released 2016, July",124.5 x 64.5 x 10.2 mm (4.90 x 2.54 x 0.40 in),113 g (3.99 oz),"4.0 inches, 45.5 cm2 (~56.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,8GB 1GB RAM,"5 MP, PDAF","1.3 MP, AF",2.1,"Li-Ion 1400 mAh, removable",
Unnecto Quattro V,UNNECTO,37481,0,"2016, May. Released 2016, July",120.3 x 63.2 x 11.7 mm (4.74 x 2.49 x 0.46 in),163 g (5.75 oz),"4.0 inches, 45.5 cm2 (~59.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,8GB 1GB RAM,"5 MP, PDAF","1.3 MP, AF","4.0, LE","Li-Ion 1600 mAh, removable",
Unnecto Drone XS,UNNECTO,44458,0,"2016, May. Released 2016, June",115 x 61 x 10.5 mm (4.53 x 2.40 x 0.41 in),113 g (3.99 oz),"3.5 inches, 36.5 cm2 (~52.0% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC,4GB 512MB RAM,"3 MP, PDAF","1.3 MP, AF",2.0,"Li-Ion 1100 mAh, removable",
Unnecto Primo 2G,UNNECTO,36054,0,"2016, March. Released 2016, April",110.5 x 43 x 13.7 mm (4.35 x 1.69 x 0.54 in),73 g (2.57 oz),"1.8 inches, 10.2 cm2 (~21.5% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),microSDHC,32MB 32MB RAM,"1 MP, AF",No,2.0,"Li-Ion 800 mAh, removable",
Unnecto Omnia,UNNECTO,49870,3,"2015, January. Released 2015, March",142.9 x 72.6 x 8.9 mm (5.63 x 2.86 x 0.35 in),163 g (5.75 oz),"5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, AF",3 MP,"4.0, LE","Li-Ion 2000 mAh, removable",
Unnecto Swift,UNNECTO,52736,2,"2015, January. Released 2015, March",119.3 x 63 x 10 mm (4.70 x 2.48 x 0.39 in),120.5 g (4.27 oz),"4.0 inches, 45.5 cm2 (~60.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,8GB 1GB RAM,5 MP,VGA,"4.0, LE","Li-Ion 1600 mAh, removable",
Unnecto Quattro X,UNNECTO,57613,6,"2015, January. Released 2015, January",123 x 64 x 9.2 mm (4.84 x 2.52 x 0.36 in),120 g (4.23 oz),"4.0 inches, 45.5 cm2 (~57.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,4GB 512MB RAM,5 MP,VGA,"4.0, A2DP",Li-Ion 1600 mAh battery,
Unnecto Drone XL,UNNECTO,50806,4,"2015, January. Released 2015, March",115 x 61 x 10.5 mm (4.53 x 2.40 x 0.41 in),110 g (3.88 oz),"3.5 inches, 36.5 cm2 (~52.0% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC,512MB 256MB RAM,3.15 MP,VGA,"4.0, A2DP",Li-Ion 1100 mAh battery,
Unnecto Drone X,UNNECTO,77386,5,"2015, January. Released 2015, January",115 x 61 x 10.5 mm (4.53 x 2.40 x 0.41 in),152 g (5.36 oz),"3.5 inches, 36.5 cm2 (~52.0% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC,512MB 256MB RAM,3.15 MP,VGA,"4.0, A2DP",Li-Ion 1100 mAh battery,
Unnecto Air 5.5,UNNECTO,56171,6,"2015, January. Released 2015, February",153 x 76 x 8.5 mm (6.02 x 2.99 x 0.33 in),156 g (5.50 oz),"5.5 inches, 83.4 cm2 (~71.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",microSDHC,8GB 1GB RAM,"13 MP, AF",5 MP,"4.0, A2DP",Li-Ion 2100 mAh battery,
Unnecto Air 5.0,UNNECTO,54673,4,"2015, January. Released 2015, February",143.5 x 71.6 x 7.9 mm (5.65 x 2.82 x 0.31 in),127.6 (4.52 oz),"5.0 inches, 68.9 cm2 (~67.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,8GB 1GB RAM,"12 MP, AF",3 MP,"4.0, A2DP",Li-Ion 1900 mAh battery,
Unnecto Air 4.5,UNNECTO,48752,4,"2015, January. Released 2015, February",133.9 x 66 x 8.3 mm (5.27 x 2.60 x 0.33 in),110.6 g (3.92 oz),"4.5 inches, 55.8 cm2 (~63.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)",microSDHC,8GB 1GB RAM,"8 MP, AF",3 MP,"4.0, A2DP",Li-Ion 1700 mAh battery,
Unnecto Rush,UNNECTO,60458,11,"2014, September. Released 2014, September",148 x 74 x 9 mm (5.83 x 2.91 x 0.35 in),180 g (6.35 oz),"5.0 inches, 68.9 cm2 (~62.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",microSDHC,4GB 512MB RAM,8 MP,VGA,"2.1, EDR",Li-Ion 2000 mAh battery,
Unnecto Quattro Z,UNNECTO,61808,6,"2014, June. Released 2014, June",125.5 x 65 x 9.4 mm (4.94 x 2.56 x 0.37 in),110 g (3.88 oz),"4.0 inches, 45.5 cm2 (~55.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",microSDHC,4GB 512MB RAM,8 MP,VGA,"4.0, A2DP",Li-Ion 1500 mAh battery,
Unnecto Drone Z,UNNECTO,59613,5,"2014, June. Released 2014, June",116 x 61 x 11.5 mm (4.57 x 2.40 x 0.45 in),100 g (3.53 oz),"3.5 inches, 36.5 cm2 (~51.5% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",microSDHC,512MB 256MB RAM,3.15 MP,VGA,"4.0, A2DP",Li-Ion 1200 mAh battery,
Unnecto Quattro,UNNECTO,64388,2,"2012, March. Released 2012, June",123 x 65 x 11.5 mm (4.84 x 2.56 x 0.45 in),140 g (4.94 oz),"4.0 inches, 45.5 cm2 (~57.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)","microSDHC (dedicated slot), 8 GB included",512MB RAM,3.15 MP,VGA,"2.1, EDR",Li-Ion 1400 mAh battery,
Unnecto Blaze,UNNECTO,48630,1,"2012, March. Released 2012, April",114 x 62.5 x 11.5 mm (4.49 x 2.46 x 0.45 in),131.5 g (4.62 oz),"3.5 inches, 3.50, 36.5 cm2 (~51.2% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)","microSDHC (dedicated slot), 2 GB included",1GB 512MB RAM,2 MP,No,"2.1, EDR",Li-Ion 1100 mAh battery,
Unnecto Drone,UNNECTO,65818,1,"2012, February. Released 2012, April",102.6 x 56.4 x 12.4 mm (4.04 x 2.22 x 0.49 in),117 g (4.13 oz),"3.2 inches, 3.20, 29.1 cm2 (~50.4% screen-to-body ratio)","240 x 400 pixels, 5:3 ratio (~146 ppi density)",microSDHC (dedicated slot),4GB 2GB RAM,2 MP,VGA,"2.1, A2DP, EDR",Li-Ion 800 mAh battery,
Unnecto Tap,UNNECTO,45728,2,"2011, June. Released 2011, August",105.5 x 56 x 12.2 mm (4.15 x 2.20 x 0.48 in),90 g (3.17 oz),"2.8 inches, 24.3 cm2 (~41.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)","microSDHC (dedicated slot), 4 GB included",256MB 64MB RAM,1.3 MP,No,Yes,Li-Ion 950 mAh battery,
